blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,5,19,6,98,0.7916666666666666
Gemma,51,59,2,16,0.5363636363636364
GPT4o,126,0,1,1,0.0
Mixtral,118,7,1,2,0.056
MixtralExpert,103,18,3,4,0.1487603305785124
Phi,121,1,5,1,0.00819672131147541
