blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
k-highest-ranked-items-within-a-price-range-Solution.highestRankedKItems,19,68,0,13,0.7816091954022989
erect-the-fence-Solution.outerTrees,20,67,3,10,0.7701149425287356
high-access-employees-Solution.findHighAccessEmployees,21,66,1,12,0.7586206896551724
maximum-value-sum-by-placing-three-rooks-ii-Solution.maximumValueSum,21,66,2,11,0.7586206896551724
get-watched-videos-by-your-friends-Solution.watchedVideosByFriends,22,65,3,10,0.7471264367816092
find-products-of-elements-of-big-array-Solution.findProductsOfElements,23,64,1,12,0.735632183908046
maximum-value-sum-by-placing-three-rooks-i-Solution.maximumValueSum,23,64,1,12,0.735632183908046
build-a-matrix-with-conditions-Solution.buildMatrix,24,63,2,11,0.7241379310344828
maximum-number-of-points-from-grid-queries-Solution.maxPoints,25,62,0,13,0.7126436781609196
minimum-sum-of-squared-difference-Solution.minSumSquareDiff,25,62,2,11,0.7126436781609196
minimum-time-to-finish-the-race-Solution.minimumFinishTime,25,62,0,13,0.7126436781609196
get-biggest-three-rhombus-sums-in-a-grid-Solution.getBiggestThree,26,61,2,11,0.7011494252873564
minimum-cost-to-reach-destination-in-time-Solution.minCost,26,61,2,11,0.7011494252873564
perfect-rectangle-Solution.isRectangleCover,26,61,2,11,0.7011494252873564
best-time-to-buy-and-sell-stock-iv-Solution.maxProfit,27,60,2,11,0.6896551724137931
majority-element-ii-Solution.majorityElement,27,60,2,11,0.6896551724137931
stamping-the-sequence-Solution.movesToStamp,27,60,0,13,0.6896551724137931
count-anagrams-Solution.countAnagrams,28,59,3,10,0.6781609195402298
minimum-time-to-revert-word-to-initial-state-ii-Solution.minimumTimeToInitialState,28,59,1,12,0.6781609195402298
minimum-time-to-visit-a-cell-in-a-grid-Solution.minimumTime,28,59,2,11,0.6781609195402298
partition-array-into-two-arrays-to-minimize-sum-difference-Solution.minimumDifference,28,59,1,12,0.6781609195402298
number-of-paths-with-max-score-Solution.pathsWithMaxScore,29,58,1,12,0.6666666666666666
fair-distribution-of-cookies-Solution.distributeCookies,30,57,3,10,0.6551724137931034
find-all-possible-recipes-from-given-supplies-Solution.findAllRecipes,30,57,1,12,0.6551724137931034
minimize-rounding-error-to-meet-target-Solution.minimizeError,30,57,4,9,0.6551724137931034
sum-game-Solution.sumGame,30,57,1,12,0.6551724137931034
the-most-similar-path-in-a-graph-Solution.mostSimilar,30,57,1,12,0.6551724137931034
find-the-shortest-superstring-Solution.shortestSuperstring,31,56,0,13,0.6436781609195402
longest-palindromic-subsequence-Solution.longestPalindromeSubseq,31,56,2,11,0.6436781609195402
minimum-cost-to-reach-city-with-discounts-Solution.minimumCost,31,56,1,12,0.6436781609195402
minimum-jumps-to-reach-home-Solution.minimumJumps,31,56,3,10,0.6436781609195402
number-of-atoms-Solution.countOfAtoms,31,56,1,12,0.6436781609195402
strong-password-checker-Solution.strongPasswordChecker,31,56,3,10,0.6436781609195402
minimum-time-to-visit-disappearing-nodes-Solution.minimumTime,32,55,6,7,0.632183908045977
dice-roll-simulation-Solution.dieSimulator,33,54,4,9,0.6206896551724138
maximum-number-of-moves-to-kill-all-pawns-Solution.maxMoves,33,54,3,10,0.6206896551724138
maximum-rows-covered-by-columns-Solution.maximumRows,33,54,1,12,0.6206896551724138
apply-operations-to-maximize-score-Solution.maximumScore,34,53,1,12,0.6091954022988506
cherry-pickup-Solution.cherryPickup,34,53,1,12,0.6091954022988506
execution-of-all-suffix-instructions-staying-in-a-grid-Solution.executeInstructions,34,53,3,10,0.6091954022988506
shortest-path-to-get-food-Solution.getFood,34,53,0,13,0.6091954022988506
find-edges-in-shortest-paths-Solution.findAnswer,35,52,1,12,0.5977011494252874
palindromePartition-Solution.partition,35,52,2,11,0.5977011494252874
substring-with-largest-variance-Solution.largestVariance,35,52,5,8,0.5977011494252874
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,36,51,2,11,0.5862068965517241
find-a-safe-walk-through-a-grid-Solution.findSafeWalk,36,51,1,12,0.5862068965517241
number-of-restricted-paths-from-first-to-last-node-Solution.countRestrictedPaths,36,51,4,9,0.5862068965517241
statistics-from-a-large-sample-Solution.sampleStats,36,51,1,12,0.5862068965517241
time-to-cross-a-bridge-Solution.findCrossingTime,36,51,2,11,0.5862068965517241
filter-restaurants-by-vegan-friendly-price-and-distance-Solution.filterRestaurants,37,50,2,11,0.5747126436781609
maximum-points-inside-the-square-Solution.maxPointsInsideSquare,37,50,3,10,0.5747126436781609
minCut-Solution.minCut,37,50,2,11,0.5747126436781609
minimum-cost-for-tickets-Solution.mincostTickets,37,50,3,10,0.5747126436781609
valid-palindrome-iii-Solution.isValidPalindrome,37,50,1,12,0.5747126436781609
closest-subsequence-sum-Solution.minAbsDifference,38,49,1,12,0.5632183908045977
distribute-repeating-integers-Solution.canDistribute,38,49,0,13,0.5632183908045977
find-the-occurrence-of-first-almost-equal-substring-Solution.minStartingIndex,38,49,2,11,0.5632183908045977
maximum-number-of-visible-points-Solution.visiblePoints,38,49,3,10,0.5632183908045977
smallest-integer-divisible-by-k-Solution.smallestRepunitDivByK,38,49,2,11,0.5632183908045977
the-number-of-the-smallest-unoccupied-chair-Solution.smallestChair,38,49,6,7,0.5632183908045977
the-time-when-the-network-becomes-idle-Solution.networkBecomesIdle,38,49,1,12,0.5632183908045977
sum-of-special-evenly-spaced-elements-in-array-Solution.solve,39,48,1,12,0.5517241379310345
maximum-subarray-min-product-Solution.maxSumMinProduct,40,47,2,11,0.5402298850574713
minimum-cost-to-equalize-array-Solution.minCostToEqualizeArray,40,47,2,11,0.5402298850574713
sum-of-floored-pairs-Solution.sumOfFlooredPairs,40,47,4,9,0.5402298850574713
construct-target-array-with-multiple-sums-Solution.isPossible,41,46,3,10,0.5287356321839081
extract-kth-character-from-the-rope-tree-Solution.getKthCharacter,41,46,2,11,0.5287356321839081
guess-the-majority-in-a-hidden-array-Solution.guessMajority,41,46,3,10,0.5287356321839081
number-of-distinct-roll-sequences-Solution.distinctSequences,41,46,2,11,0.5287356321839081
number-of-ways-to-split-a-string-Solution.numWays,41,46,2,11,0.5287356321839081
spiral-matrix-iv-Solution.spiralMatrix,41,46,3,10,0.5287356321839081
minDistance-Solution.minDistance,42,45,4,9,0.5172413793103449
number-of-pairs-of-interchangeable-rectangles-Solution.interchangeableRectangles,42,45,3,10,0.5172413793103449
minimum-operations-to-convert-number-Solution.minimumOperations,43,44,3,10,0.5057471264367817
russian-doll-envelopes-Solution.maxEnvelopes,43,44,5,8,0.5057471264367817
binary-string-with-substrings-representing-1-to-n-Solution.queryString,44,43,1,12,0.4942528735632184
fraction-to-recurring-decimal-Solution.fractionToDecimal,44,43,2,11,0.4942528735632184
most-popular-video-creator-Solution.mostPopularCreator,44,43,0,13,0.4942528735632184
odd-string-difference-Solution.oddString,44,43,2,11,0.4942528735632184
reorder-log-files-Solution.reorderLogFiles,44,43,1,12,0.4942528735632184
display-table-of-food-orders-in-a-restaurant-Solution.displayTable,45,42,1,12,0.4827586206896552
find-duplicate-file-in-system-Solution.findDuplicate,45,42,4,9,0.4827586206896552
median-of-a-row-wise-sorted-matrix-Solution.matrixMedian,45,42,2,11,0.4827586206896552
number-of-different-subsequences-gcds-Solution.countDifferentSubsequenceGCDs,45,42,4,9,0.4827586206896552
count-houses-in-a-circular-street-ii-Solution.houseCount,47,40,2,11,0.45977011494252873
minimum-number-of-operations-to-make-all-array-elements-equal-to-1-Solution.minOperations,47,40,2,11,0.45977011494252873
number-of-equal-numbers-blocks-Solution.countBlocks,47,40,2,11,0.45977011494252873
numbers-at-most-n-given-digit-set-Solution.atMostNGivenDigitSet,47,40,2,11,0.45977011494252873
smallest-greater-multiple-made-of-two-digits-Solution.findInteger,48,39,3,10,0.4482758620689655
convert-1d-array-into-2d-array-Solution.construct2DArray,50,37,4,9,0.42528735632183906
count-pairs-of-equal-substrings-with-minimum-difference-Solution.countQuadruples,51,36,4,9,0.41379310344827586
find-pattern-in-infinite-stream-i-Solution.findPattern,51,36,4,9,0.41379310344827586
find-root-of-n-ary-tree-Solution.findRoot,51,36,4,9,0.41379310344827586
sentence-similarity-iii-Solution.areSentencesSimilar,52,35,5,8,0.40229885057471265
find-pattern-in-infinite-stream-ii-Solution.findPattern,53,34,3,10,0.39080459770114945
stone-game-vi-Solution.stoneGameVI,53,34,3,10,0.39080459770114945
count-houses-in-a-circular-street-Solution.houseCount,55,32,2,11,0.367816091954023
double-modular-exponentiation-Solution.getGoodIndices,56,31,2,11,0.3563218390804598
find-nearest-right-node-in-binary-tree-Solution.findNeartestRightNode,57,30,2,11,0.3448275862068966
evaluate-the-bracket-pairs-of-a-string-Solution.evaluate,63,24,7,6,0.27586206896551724
