blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
2414-TerocoinToken.transfer,19,91,0,18,0.8272727272727273
6366-GameConfig.getUpgradeCardsInfo,34,76,1,17,0.6909090909090909
1673-Zlots._finishSpin,44,66,2,16,0.6
1546-Zlots._finishSpin,46,64,1,17,0.5818181818181818
1761-Zlots._finishSpin,47,63,3,15,0.5727272727272728
1096-Zlots._finishSpin,52,58,5,13,0.5272727272727272
1101-Zlots._finishSpin,52,58,5,13,0.5272727272727272
1472-Zlots._finishSpin,52,58,3,15,0.5272727272727272
662-SafeMath.add,52,58,3,15,0.5272727272727272
425-StandardToken.allowance,53,57,2,16,0.5181818181818182
594-SafeMath.add,53,57,3,15,0.5181818181818182
595-SafeMath.add,53,57,0,18,0.5181818181818182
1056-Zlots._finishSpin,56,54,4,14,0.4909090909090909
4716-DateTime.toTimestamp,57,53,2,16,0.4818181818181818
5060-DateTime.toTimestamp,57,53,3,15,0.4818181818181818
