,cosine-similarity
100_reentrancy.sol,0.8591
101_reentrancy.sol,0.8896
102_reentrancy.sol,0.9255
103_reentrancy.sol,0.9561
104_reentrancy.sol,0.9131
105_reentrancy.sol,0.9558
106_reentrancy.sol,0.9546
107_reentrancy.sol,0.9454
108_reentrancy.sol,0.9346
109_reentrancy.sol,0.9565
110_reentrancy.sol,0.9193
111_reentrancy.sol,0.9629
112_reentrancy.sol,0.8901
113_reentrancy.sol,0.8723
114_reentrancy.sol,0.9273
115_reentrancy.sol,0.9260
116_reentrancy.sol,0.9529
117_reentrancy.sol,0.8904
118_reentrancy.sol,0.8612
119_reentrancy.sol,0.9344
11_access_control.sol,0.9364
120_reentrancy.sol,0.9175
121_reentrancy.sol,0.9288
122_reentrancy.sol,0.9121
123_reentrancy.sol,0.9361
124_reentrancy.sol,0.9146
125_reentrancy.sol,0.9526
126_reentrancy.sol,0.8822
127_time_manipulation.sol,0.8164
128_time_manipulation.sol,0.9005
129_time_manipulation.sol,0.8929
12_access_control.sol,0.8363
130_time_manipulation.sol,0.8354
131_time_manipulation.sol,0.8863
132_short_addresses.sol,0.8769
133_denial_of_service.sol,0.9025
134_denial_of_service.sol,0.8938
135_denial_of_service.sol,0.9377
136_denial_of_service.sol,0.8698
137_denial_of_service.sol,0.8729
138_denial_of_service.sol,0.8311
13_access_control.sol,0.9573
14_access_control.sol,0.8737
15_access_control.sol,0.8501
16_access_control.sol,0.8744
17_access_control.sol,0.8099
18_access_control.sol,0.9065
19_access_control.sol,0.8381
20_access_control.sol,0.8767
21_access_control.sol,0.8016
22_access_control.sol,0.8800
23_access_control.sol,0.8451
24_access_control.sol,0.8438
25_access_control.sol,0.8388
26_access_control.sol,0.9738
27_unchecked_low_level_calls.sol,0.8713
28_unchecked_low_level_calls.sol,0.9240
29_unchecked_low_level_calls.sol,0.8565
30_unchecked_low_level_calls.sol,0.9475
31_unchecked_low_level_calls.sol,0.8670
32_unchecked_low_level_calls.sol,0.9114
33_unchecked_low_level_calls.sol,0.7690
34_unchecked_low_level_calls.sol,0.9278
35_unchecked_low_level_calls.sol,0.8774
36_unchecked_low_level_calls.sol,0.9356
37_unchecked_low_level_calls.sol,0.8675
38_unchecked_low_level_calls.sol,0.9326
39_unchecked_low_level_calls.sol,0.9865
40_unchecked_low_level_calls.sol,0.9546
41_unchecked_low_level_calls.sol,0.9488
42_unchecked_low_level_calls.sol,0.8890
43_unchecked_low_level_calls.sol,0.8753
44_unchecked_low_level_calls.sol,0.8767
45_unchecked_low_level_calls.sol,0.9522
46_unchecked_low_level_calls.sol,0.8478
47_unchecked_low_level_calls.sol,0.9346
48_unchecked_low_level_calls.sol,0.8359
49_unchecked_low_level_calls.sol,0.9092
50_unchecked_low_level_calls.sol,0.9092
51_unchecked_low_level_calls.sol,0.8641
52_unchecked_low_level_calls.sol,0.8746
53_unchecked_low_level_calls.sol,0.7869
54_unchecked_low_level_calls.sol,0.8417
55_unchecked_low_level_calls.sol,0.8786
56_unchecked_low_level_calls.sol,0.8792
57_unchecked_low_level_calls.sol,0.9269
58_unchecked_low_level_calls.sol,0.9224
59_unchecked_low_level_calls.sol,0.8880
60_unchecked_low_level_calls.sol,0.7594
61_unchecked_low_level_calls.sol,0.9697
62_unchecked_low_level_calls.sol,0.8606
63_unchecked_low_level_calls.sol,0.8372
64_unchecked_low_level_calls.sol,0.9231
65_unchecked_low_level_calls.sol,0.9186
66_unchecked_low_level_calls.sol,0.9311
67_unchecked_low_level_calls.sol,0.8784
68_unchecked_low_level_calls.sol,0.8312
69_unchecked_low_level_calls.sol,0.8421
70_unchecked_low_level_calls.sol,0.8501
71_unchecked_low_level_calls.sol,0.8574
72_unchecked_low_level_calls.sol,0.9177
73_front_running.sol,0.8801
74_front_running.sol,0.8799
75_front_running.sol,0.9682
76_front_running.sol,0.8956
77_arithmetic.sol,0.8597
78_arithmetic.sol,0.8744
79_arithmetic.sol,0.8604
80_arithmetic.sol,0.8706
81_arithmetic.sol,0.8844
82_arithmetic.sol,0.8972
83_arithmetic.sol,0.8788
84_arithmetic.sol,0.8628
85_arithmetic.sol,0.8826
86_arithmetic.sol,0.8993
87_arithmetic.sol,0.8651
88_arithmetic.sol,0.8814
89_arithmetic.sol,0.8746
90_arithmetic.sol,0.8800
91_bad_randomness.sol,0.9131
92_bad_randomness.sol,0.9687
93_bad_randomness.sol,0.9408
94_bad_randomness.sol,0.8836
95_bad_randomness.sol,0.9007
96_bad_randomness.sol,0.8950
97_reentrancy.sol,0.9428
98_reentrancy.sol,0.9031
99_reentrancy.sol,0.9358
min,0.7594
max,0.9865
mean,0.8934
