,cosine-similarity
100_reentrancy.sol,0.9124
101_reentrancy.sol,0.9278
102_reentrancy.sol,0.9324
103_reentrancy.sol,0.9556
104_reentrancy.sol,0.9505
105_reentrancy.sol,0.9553
106_reentrancy.sol,0.9460
107_reentrancy.sol,0.9448
108_reentrancy.sol,0.9450
109_reentrancy.sol,0.9667
110_reentrancy.sol,0.9387
111_reentrancy.sol,0.9527
112_reentrancy.sol,0.9298
113_reentrancy.sol,0.9218
114_reentrancy.sol,0.9514
115_reentrancy.sol,0.9498
116_reentrancy.sol,0.9425
117_reentrancy.sol,0.9438
118_reentrancy.sol,0.9174
119_reentrancy.sol,0.9526
11_access_control.sol,0.9450
120_reentrancy.sol,0.9410
121_reentrancy.sol,0.9354
122_reentrancy.sol,0.9377
123_reentrancy.sol,0.9413
124_reentrancy.sol,0.9442
125_reentrancy.sol,0.9462
126_reentrancy.sol,0.9314
127_time_manipulation.sol,0.8322
128_time_manipulation.sol,0.9287
129_time_manipulation.sol,0.9225
12_access_control.sol,0.8680
130_time_manipulation.sol,0.8696
131_time_manipulation.sol,0.9279
132_short_addresses.sol,0.9369
133_denial_of_service.sol,0.9063
134_denial_of_service.sol,0.8903
135_denial_of_service.sol,0.9557
136_denial_of_service.sol,0.8976
137_denial_of_service.sol,0.8255
138_denial_of_service.sol,0.8550
13_access_control.sol,0.9723
14_access_control.sol,0.9245
15_access_control.sol,0.8772
16_access_control.sol,0.9097
17_access_control.sol,0.8369
18_access_control.sol,0.9089
19_access_control.sol,0.8639
20_access_control.sol,0.9234
21_access_control.sol,0.8398
22_access_control.sol,0.9243
23_access_control.sol,0.8521
24_access_control.sol,0.8732
25_access_control.sol,0.8779
26_access_control.sol,0.9707
27_unchecked_low_level_calls.sol,0.8970
28_unchecked_low_level_calls.sol,0.9225
29_unchecked_low_level_calls.sol,0.8867
30_unchecked_low_level_calls.sol,0.9652
31_unchecked_low_level_calls.sol,0.8694
32_unchecked_low_level_calls.sol,0.9598
33_unchecked_low_level_calls.sol,0.7984
34_unchecked_low_level_calls.sol,0.9270
35_unchecked_low_level_calls.sol,0.9015
36_unchecked_low_level_calls.sol,0.9475
37_unchecked_low_level_calls.sol,0.8748
38_unchecked_low_level_calls.sol,0.9474
39_unchecked_low_level_calls.sol,0.9839
40_unchecked_low_level_calls.sol,0.9655
41_unchecked_low_level_calls.sol,0.9552
42_unchecked_low_level_calls.sol,0.8975
43_unchecked_low_level_calls.sol,0.9050
44_unchecked_low_level_calls.sol,0.8945
45_unchecked_low_level_calls.sol,0.9436
46_unchecked_low_level_calls.sol,0.9139
47_unchecked_low_level_calls.sol,0.9450
48_unchecked_low_level_calls.sol,0.8527
49_unchecked_low_level_calls.sol,0.9238
50_unchecked_low_level_calls.sol,0.9250
51_unchecked_low_level_calls.sol,0.9222
52_unchecked_low_level_calls.sol,0.8788
53_unchecked_low_level_calls.sol,0.8355
54_unchecked_low_level_calls.sol,0.8487
55_unchecked_low_level_calls.sol,0.8942
56_unchecked_low_level_calls.sol,0.9115
57_unchecked_low_level_calls.sol,0.9541
58_unchecked_low_level_calls.sol,0.9298
59_unchecked_low_level_calls.sol,0.8948
60_unchecked_low_level_calls.sol,0.7437
61_unchecked_low_level_calls.sol,0.9639
62_unchecked_low_level_calls.sol,0.9147
63_unchecked_low_level_calls.sol,0.8853
64_unchecked_low_level_calls.sol,0.9524
65_unchecked_low_level_calls.sol,0.9357
66_unchecked_low_level_calls.sol,0.9479
67_unchecked_low_level_calls.sol,0.9128
68_unchecked_low_level_calls.sol,0.8987
69_unchecked_low_level_calls.sol,0.8919
70_unchecked_low_level_calls.sol,0.8655
71_unchecked_low_level_calls.sol,0.9189
72_unchecked_low_level_calls.sol,0.9455
73_front_running.sol,0.9128
74_front_running.sol,0.8923
75_front_running.sol,0.9892
76_front_running.sol,0.9113
77_arithmetic.sol,0.9268
78_arithmetic.sol,0.9048
79_arithmetic.sol,0.8963
80_arithmetic.sol,0.8874
81_arithmetic.sol,0.9383
82_arithmetic.sol,0.9279
83_arithmetic.sol,0.9184
84_arithmetic.sol,0.8878
85_arithmetic.sol,0.9189
86_arithmetic.sol,0.9457
87_arithmetic.sol,0.9105
88_arithmetic.sol,0.9042
89_arithmetic.sol,0.9095
90_arithmetic.sol,0.9290
91_bad_randomness.sol,0.9376
92_bad_randomness.sol,0.9724
93_bad_randomness.sol,0.9586
94_bad_randomness.sol,0.9254
95_bad_randomness.sol,0.9201
96_bad_randomness.sol,0.9219
97_reentrancy.sol,0.9438
98_reentrancy.sol,0.9312
99_reentrancy.sol,0.9332
min,0.7437
max,0.9892
mean,0.9167
