,cosine-similarity
100_reentrancy.sol,0.7774
101_reentrancy.sol,0.8086
102_reentrancy.sol,0.7999
103_reentrancy.sol,0.8296
104_reentrancy.sol,0.8194
105_reentrancy.sol,0.8204
106_reentrancy.sol,0.8026
107_reentrancy.sol,0.8110
108_reentrancy.sol,0.7893
109_reentrancy.sol,0.8554
110_reentrancy.sol,0.7996
111_reentrancy.sol,0.8199
112_reentrancy.sol,0.7912
113_reentrancy.sol,0.7914
114_reentrancy.sol,0.8239
115_reentrancy.sol,0.8201
116_reentrancy.sol,0.8016
117_reentrancy.sol,0.8192
118_reentrancy.sol,0.7647
119_reentrancy.sol,0.8063
11_access_control.sol,0.8149
120_reentrancy.sol,0.7944
121_reentrancy.sol,0.7788
122_reentrancy.sol,0.7879
123_reentrancy.sol,0.8028
124_reentrancy.sol,0.7929
125_reentrancy.sol,0.8202
126_reentrancy.sol,0.7795
127_time_manipulation.sol,0.6913
128_time_manipulation.sol,0.8184
129_time_manipulation.sol,0.7889
12_access_control.sol,0.7105
130_time_manipulation.sol,0.7426
131_time_manipulation.sol,0.8371
132_short_addresses.sol,0.7981
133_denial_of_service.sol,0.7305
134_denial_of_service.sol,0.7110
135_denial_of_service.sol,0.8876
136_denial_of_service.sol,0.7429
137_denial_of_service.sol,0.6661
138_denial_of_service.sol,0.7242
13_access_control.sol,0.9478
14_access_control.sol,0.8108
15_access_control.sol,0.7045
16_access_control.sol,0.7648
17_access_control.sol,0.7259
18_access_control.sol,0.7663
19_access_control.sol,0.7007
20_access_control.sol,0.8083
21_access_control.sol,0.7165
22_access_control.sol,0.8190
23_access_control.sol,0.7413
24_access_control.sol,0.6864
25_access_control.sol,0.7444
26_access_control.sol,0.8877
27_unchecked_low_level_calls.sol,0.8156
28_unchecked_low_level_calls.sol,0.8248
29_unchecked_low_level_calls.sol,0.8084
30_unchecked_low_level_calls.sol,0.9037
31_unchecked_low_level_calls.sol,0.7454
32_unchecked_low_level_calls.sol,0.9214
33_unchecked_low_level_calls.sol,0.6716
34_unchecked_low_level_calls.sol,0.8319
35_unchecked_low_level_calls.sol,0.8167
36_unchecked_low_level_calls.sol,0.7919
37_unchecked_low_level_calls.sol,0.7575
38_unchecked_low_level_calls.sol,0.8044
39_unchecked_low_level_calls.sol,0.8872
40_unchecked_low_level_calls.sol,0.8711
41_unchecked_low_level_calls.sol,0.8036
42_unchecked_low_level_calls.sol,0.8509
43_unchecked_low_level_calls.sol,0.8027
44_unchecked_low_level_calls.sol,0.8030
45_unchecked_low_level_calls.sol,0.8429
46_unchecked_low_level_calls.sol,0.7722
47_unchecked_low_level_calls.sol,0.7893
48_unchecked_low_level_calls.sol,0.7208
49_unchecked_low_level_calls.sol,0.8500
50_unchecked_low_level_calls.sol,0.8509
51_unchecked_low_level_calls.sol,0.8057
52_unchecked_low_level_calls.sol,0.7373
53_unchecked_low_level_calls.sol,0.6929
54_unchecked_low_level_calls.sol,0.7256
55_unchecked_low_level_calls.sol,0.8134
56_unchecked_low_level_calls.sol,0.7481
57_unchecked_low_level_calls.sol,0.8476
58_unchecked_low_level_calls.sol,0.8302
59_unchecked_low_level_calls.sol,0.8469
60_unchecked_low_level_calls.sol,0.6447
61_unchecked_low_level_calls.sol,0.8371
62_unchecked_low_level_calls.sol,0.7840
63_unchecked_low_level_calls.sol,0.7974
64_unchecked_low_level_calls.sol,0.8436
65_unchecked_low_level_calls.sol,0.8335
66_unchecked_low_level_calls.sol,0.8031
67_unchecked_low_level_calls.sol,0.8150
68_unchecked_low_level_calls.sol,0.7663
69_unchecked_low_level_calls.sol,0.8017
70_unchecked_low_level_calls.sol,0.7230
71_unchecked_low_level_calls.sol,0.7985
72_unchecked_low_level_calls.sol,0.8261
73_front_running.sol,0.7854
74_front_running.sol,0.6951
75_front_running.sol,0.8980
76_front_running.sol,0.7707
77_arithmetic.sol,0.7047
78_arithmetic.sol,0.6703
79_arithmetic.sol,0.7172
80_arithmetic.sol,0.6785
81_arithmetic.sol,0.7989
82_arithmetic.sol,0.7824
83_arithmetic.sol,0.6848
84_arithmetic.sol,0.6825
85_arithmetic.sol,0.6688
86_arithmetic.sol,0.7819
87_arithmetic.sol,0.7601
88_arithmetic.sol,0.6825
89_arithmetic.sol,0.7294
90_arithmetic.sol,0.7550
91_bad_randomness.sol,0.8245
92_bad_randomness.sol,0.9113
93_bad_randomness.sol,0.9175
94_bad_randomness.sol,0.7990
95_bad_randomness.sol,0.7899
96_bad_randomness.sol,0.7388
97_reentrancy.sol,0.8109
98_reentrancy.sol,0.8047
99_reentrancy.sol,0.7942
min,0.6447
max,0.9478
mean,0.7867
