,cosine-similarity
100_reentrancy.sol,0.9557
101_reentrancy.sol,0.9517
102_reentrancy.sol,0.9428
103_reentrancy.sol,0.9586
104_reentrancy.sol,0.9676
105_reentrancy.sol,0.9622
106_reentrancy.sol,0.9592
107_reentrancy.sol,0.9610
108_reentrancy.sol,0.9821
109_reentrancy.sol,0.9785
110_reentrancy.sol,0.9578
111_reentrancy.sol,0.9653
112_reentrancy.sol,0.9473
113_reentrancy.sol,0.9462
114_reentrancy.sol,0.9624
115_reentrancy.sol,0.9611
116_reentrancy.sol,0.9531
117_reentrancy.sol,0.9605
118_reentrancy.sol,0.9411
119_reentrancy.sol,0.9669
11_access_control.sol,0.9594
120_reentrancy.sol,0.9475
121_reentrancy.sol,0.9486
122_reentrancy.sol,0.9488
123_reentrancy.sol,0.9535
124_reentrancy.sol,0.9491
125_reentrancy.sol,0.9624
126_reentrancy.sol,0.9399
127_time_manipulation.sol,0.8669
128_time_manipulation.sol,0.9552
129_time_manipulation.sol,0.9407
12_access_control.sol,0.9428
130_time_manipulation.sol,0.9185
131_time_manipulation.sol,0.9467
132_short_addresses.sol,0.9555
133_denial_of_service.sol,0.9178
134_denial_of_service.sol,0.8817
135_denial_of_service.sol,0.9885
136_denial_of_service.sol,0.9343
137_denial_of_service.sol,0.8765
138_denial_of_service.sol,0.9114
13_access_control.sol,0.9970
14_access_control.sol,0.9463
15_access_control.sol,0.9399
16_access_control.sol,0.9329
17_access_control.sol,0.8879
18_access_control.sol,0.9302
19_access_control.sol,0.9396
20_access_control.sol,0.9466
21_access_control.sol,0.8791
22_access_control.sol,0.9551
23_access_control.sol,0.9103
24_access_control.sol,0.9041
25_access_control.sol,0.9156
26_access_control.sol,0.9711
27_unchecked_low_level_calls.sol,0.9452
28_unchecked_low_level_calls.sol,0.9701
29_unchecked_low_level_calls.sol,0.9503
30_unchecked_low_level_calls.sol,0.9882
31_unchecked_low_level_calls.sol,0.8971
32_unchecked_low_level_calls.sol,0.9903
33_unchecked_low_level_calls.sol,0.8565
34_unchecked_low_level_calls.sol,0.9562
35_unchecked_low_level_calls.sol,0.9480
36_unchecked_low_level_calls.sol,0.9857
37_unchecked_low_level_calls.sol,0.8994
38_unchecked_low_level_calls.sol,0.9839
39_unchecked_low_level_calls.sol,0.9922
40_unchecked_low_level_calls.sol,0.9846
41_unchecked_low_level_calls.sol,0.9365
42_unchecked_low_level_calls.sol,0.9610
43_unchecked_low_level_calls.sol,0.9386
44_unchecked_low_level_calls.sol,0.9518
45_unchecked_low_level_calls.sol,0.9726
46_unchecked_low_level_calls.sol,0.9387
47_unchecked_low_level_calls.sol,0.9821
48_unchecked_low_level_calls.sol,0.8880
49_unchecked_low_level_calls.sol,0.9702
50_unchecked_low_level_calls.sol,0.9701
51_unchecked_low_level_calls.sol,0.9425
52_unchecked_low_level_calls.sol,0.8913
53_unchecked_low_level_calls.sol,0.8931
54_unchecked_low_level_calls.sol,0.8909
55_unchecked_low_level_calls.sol,0.9480
56_unchecked_low_level_calls.sol,0.9204
57_unchecked_low_level_calls.sol,0.9754
58_unchecked_low_level_calls.sol,0.9531
59_unchecked_low_level_calls.sol,0.9595
60_unchecked_low_level_calls.sol,0.8149
61_unchecked_low_level_calls.sol,0.9922
62_unchecked_low_level_calls.sol,0.9301
63_unchecked_low_level_calls.sol,0.9478
64_unchecked_low_level_calls.sol,0.9744
65_unchecked_low_level_calls.sol,0.9563
66_unchecked_low_level_calls.sol,0.9819
67_unchecked_low_level_calls.sol,0.9513
68_unchecked_low_level_calls.sol,0.9161
69_unchecked_low_level_calls.sol,0.9493
70_unchecked_low_level_calls.sol,0.8870
71_unchecked_low_level_calls.sol,0.9430
72_unchecked_low_level_calls.sol,0.9718
73_front_running.sol,0.9415
74_front_running.sol,0.9167
75_front_running.sol,0.9898
76_front_running.sol,0.9374
77_arithmetic.sol,0.9040
78_arithmetic.sol,0.8934
79_arithmetic.sol,0.9156
80_arithmetic.sol,0.8860
81_arithmetic.sol,0.9371
82_arithmetic.sol,0.9486
83_arithmetic.sol,0.8801
84_arithmetic.sol,0.8873
85_arithmetic.sol,0.8833
86_arithmetic.sol,0.9185
87_arithmetic.sol,0.9280
88_arithmetic.sol,0.8882
89_arithmetic.sol,0.9170
90_arithmetic.sol,0.9381
91_bad_randomness.sol,0.9656
92_bad_randomness.sol,0.9923
93_bad_randomness.sol,0.9908
94_bad_randomness.sol,0.9287
95_bad_randomness.sol,0.9711
96_bad_randomness.sol,0.8986
97_reentrancy.sol,0.9578
98_reentrancy.sol,0.9503
99_reentrancy.sol,0.9561
min,0.8149
max,0.9970
mean,0.9410
