,cosine-similarity
100_reentrancy.sol,0.9071
101_reentrancy.sol,0.9347
102_reentrancy.sol,0.9475
103_reentrancy.sol,0.9614
104_reentrancy.sol,0.9541
105_reentrancy.sol,0.9625
106_reentrancy.sol,0.9511
107_reentrancy.sol,0.9575
108_reentrancy.sol,0.9525
109_reentrancy.sol,0.9704
110_reentrancy.sol,0.9395
111_reentrancy.sol,0.9627
112_reentrancy.sol,0.9356
113_reentrancy.sol,0.9284
114_reentrancy.sol,0.9609
115_reentrancy.sol,0.9594
116_reentrancy.sol,0.9567
117_reentrancy.sol,0.9481
118_reentrancy.sol,0.9048
119_reentrancy.sol,0.9627
11_access_control.sol,0.9443
120_reentrancy.sol,0.9540
121_reentrancy.sol,0.9450
122_reentrancy.sol,0.9545
123_reentrancy.sol,0.9583
124_reentrancy.sol,0.9508
125_reentrancy.sol,0.9566
126_reentrancy.sol,0.9324
127_time_manipulation.sol,0.8265
128_time_manipulation.sol,0.9429
129_time_manipulation.sol,0.9192
12_access_control.sol,0.8699
130_time_manipulation.sol,0.8832
131_time_manipulation.sol,0.9464
132_short_addresses.sol,0.9572
133_denial_of_service.sol,0.9192
134_denial_of_service.sol,0.8568
135_denial_of_service.sol,0.9691
136_denial_of_service.sol,0.9299
137_denial_of_service.sol,0.8439
138_denial_of_service.sol,0.8437
13_access_control.sol,0.9846
14_access_control.sol,0.9174
15_access_control.sol,0.8724
16_access_control.sol,0.9144
17_access_control.sol,0.8711
18_access_control.sol,0.9245
19_access_control.sol,0.8679
20_access_control.sol,0.9184
21_access_control.sol,0.8503
22_access_control.sol,0.9171
23_access_control.sol,0.8534
24_access_control.sol,0.8578
25_access_control.sol,0.8785
26_access_control.sol,0.9803
27_unchecked_low_level_calls.sol,0.8954
28_unchecked_low_level_calls.sol,0.9231
29_unchecked_low_level_calls.sol,0.8999
30_unchecked_low_level_calls.sol,0.9781
31_unchecked_low_level_calls.sol,0.8751
32_unchecked_low_level_calls.sol,0.9663
33_unchecked_low_level_calls.sol,0.7418
34_unchecked_low_level_calls.sol,0.9303
35_unchecked_low_level_calls.sol,0.8974
36_unchecked_low_level_calls.sol,0.9577
37_unchecked_low_level_calls.sol,0.8812
38_unchecked_low_level_calls.sol,0.9615
39_unchecked_low_level_calls.sol,0.9853
40_unchecked_low_level_calls.sol,0.9630
41_unchecked_low_level_calls.sol,0.9587
42_unchecked_low_level_calls.sol,0.9202
43_unchecked_low_level_calls.sol,0.9134
44_unchecked_low_level_calls.sol,0.8862
45_unchecked_low_level_calls.sol,0.9643
46_unchecked_low_level_calls.sol,0.9202
47_unchecked_low_level_calls.sol,0.9525
48_unchecked_low_level_calls.sol,0.8509
49_unchecked_low_level_calls.sol,0.9394
50_unchecked_low_level_calls.sol,0.9390
51_unchecked_low_level_calls.sol,0.9003
52_unchecked_low_level_calls.sol,0.8814
53_unchecked_low_level_calls.sol,0.8554
54_unchecked_low_level_calls.sol,0.8494
55_unchecked_low_level_calls.sol,0.8976
56_unchecked_low_level_calls.sol,0.9105
57_unchecked_low_level_calls.sol,0.9722
58_unchecked_low_level_calls.sol,0.9309
59_unchecked_low_level_calls.sol,0.9183
60_unchecked_low_level_calls.sol,0.7547
61_unchecked_low_level_calls.sol,0.9523
62_unchecked_low_level_calls.sol,0.9308
63_unchecked_low_level_calls.sol,0.8802
64_unchecked_low_level_calls.sol,0.9695
65_unchecked_low_level_calls.sol,0.9364
66_unchecked_low_level_calls.sol,0.9612
67_unchecked_low_level_calls.sol,0.9095
68_unchecked_low_level_calls.sol,0.8926
69_unchecked_low_level_calls.sol,0.8857
70_unchecked_low_level_calls.sol,0.8545
71_unchecked_low_level_calls.sol,0.8943
72_unchecked_low_level_calls.sol,0.9650
73_front_running.sol,0.9176
74_front_running.sol,0.9243
75_front_running.sol,0.9811
76_front_running.sol,0.9341
77_arithmetic.sol,0.8940
78_arithmetic.sol,0.8768
79_arithmetic.sol,0.8963
80_arithmetic.sol,0.8611
81_arithmetic.sol,0.9372
82_arithmetic.sol,0.9440
83_arithmetic.sol,0.8851
84_arithmetic.sol,0.8642
85_arithmetic.sol,0.8807
86_arithmetic.sol,0.9260
87_arithmetic.sol,0.9477
88_arithmetic.sol,0.8713
89_arithmetic.sol,0.8967
90_arithmetic.sol,0.9250
91_bad_randomness.sol,0.9500
92_bad_randomness.sol,0.9804
93_bad_randomness.sol,0.9669
94_bad_randomness.sol,0.9303
95_bad_randomness.sol,0.9377
96_bad_randomness.sol,0.9331
97_reentrancy.sol,0.9567
98_reentrancy.sol,0.9445
99_reentrancy.sol,0.9491
min,0.7418
max,0.9853
mean,0.9202
