blind_name,Mixtral,CodeLlama,Phi
tool,0.7778 (35/45),0.7925 (42/53),1 (66/66)
random,0.3333 (15/45),0.0566 (3/53),0.3485 (23/66)
benign_comments,0.9111 (41/45),1 (53/53),0.9545 (63/66)
benign_rename,0.7111 (32/45),0.7547 (40/53),0.4394 (29/66)
