blind_name,Mixtral,CodeLlama,Phi
tool,0.9375 (45/48),0.9756 (80/82),0.7742 (24/31)
random,0.625 (30/48),0.878 (72/82),0.4839 (15/31)
benign_comments,0.9167 (44/48),1 (82/82),0.8065 (25/31)
benign_rename,0.4375 (21/48),0.9878 (81/82),0.5161 (16/31)
