blind_name,Mixtral,CodeLlama,Phi
tool,0.9286 (39/42),0.9872 (77/78),0.7931 (23/29)
random,0.6429 (27/42),0.8846 (69/78),0.4483 (13/29)
benign_comments,0.9048 (38/42),1 (78/78),0.7931 (23/29)
benign_rename,0.381 (16/42),0.9872 (77/78),0.5172 (15/29)
