blind_name,Mixtral,CodeLlama,Phi
tool,0.9286 (39/42),1 (78/78),0.7931 (23/29)
random,0.6905 (29/42),0.8974 (70/78),0.4483 (13/29)
benign_comments,0.9048 (38/42),1 (78/78),0.7931 (23/29)
benign_rename,0.4524 (19/42),1 (78/78),0.5172 (15/29)
