blind_name,Mixtral,CodeLlama,Phi
tool,0.7816 (68/87),0.8356 (61/73),1 (77/77)
random,0.4598 (40/87),0.08219 (6/73),0.4156 (32/77)
benign_comments,0.9425 (82/87),1 (73/73),0.961 (74/77)
benign_rename,0.7701 (67/87),0.7945 (58/73),0.4935 (38/77)
