,smartbugs-collection_min,smartbugs-collection_max,smartbugs-collection_mean,big-vul-100_min,big-vul-100_max,big-vul-100_mean,cvefixes-100_min,cvefixes-100_max,cvefixes-100_mean
Mixtral,0.7594,0.9865,0.8934,0.7775,0.9971,0.953,0.6344,0.988,0.8968
CodeLlama,0.8149,0.997,0.941,0.7991,0.9981,0.9549,0.7559,0.996,0.9234
Phi,0.7437,0.9892,0.9167,0.5694,0.9836,0.8203,0.6874,0.9931,0.8977
MixtralExpert,0.7594,0.9865,0.8934,0.7897,0.9985,0.9498,0.6761,0.9948,0.9119
Gemma,0.6447,0.9478,0.7867,0.8096,0.9974,0.9621,0.711,0.9967,0.8999
