,case_name,before,after,decrease,decrease_rate
0,177736_Bypass,1024,796.040252327919,227.959747672081,0.2226169410860166
1,177740_DoS_Exec_Code_Overflow_Mem._Corr.,1024,761.5506872534752,262.4493127465248,0.25629815697902814
2,177741_DoS_Overflow,1024,726.931166768074,297.06883323192596,0.2901062824530527
3,177742_DoS_Overflow,1024,718.8705248832703,305.12947511672974,0.2979780030436814
4,177743_DoS,1024,766.6597121357918,257.3402878642082,0.25130887486739084
5,177747_DoS,1024,743.3616091609001,280.6383908390999,0.2740609285538085
6,177750_DoS_Exec_Code,1024,763.4006645083427,260.59933549165726,0.25449153856607154
7,177766_DoS,1024,794.8041417598724,229.19585824012756,0.22382408031262457
8,177767_DoS,1024,764.7473410964012,259.2526589035988,0.2531764247105457
9,177768_DoS,1024,749.3497993350029,274.6502006649971,0.26821308658691123
10,177770_Bypass,1024,783.5008412003517,240.49915879964828,0.23486245976528153
11,177771_nan,1024,753.5858391523361,270.4141608476639,0.26407632895279676
12,177773_DoS_Exec_Code_Overflow_Mem._Corr.,1024,734.8894991874695,289.1105008125305,0.28233447344973683
13,177774_DoS_Exec_Code_Overflow,1024,749.8003226518631,274.1996773481369,0.26777312241028994
14,177775_DoS_Exec_Code_Overflow,1024,764.6840133666992,259.3159866333008,0.2532382681965828
15,177777_DoS_Exec_Code_Overflow,1024,766.2569378614426,257.74306213855743,0.251702209119685
16,177778_DoS_Exec_Code_Overflow,1024,768.6277070641518,255.37229293584824,0.2493870048201643
17,177779_DoS_Exec_Code_Overflow,1024,775.3782185316086,248.62178146839142,0.242794708465226
18,177780_DoS_Exec_Code_Overflow,1024,752.9364855289459,271.0635144710541,0.26471046335063875
19,177781_DoS_Exec_Code_Overflow,1024,756.860243499279,267.139756500721,0.26087866845773533
20,177783_DoS_Exec_Code_Overflow,1024,752.7755542993546,271.22444570064545,0.26486762275453657
21,177786_DoS_Exec_Code_Overflow,1024,751.6525101065636,272.34748989343643,0.265964345599059
22,177787_DoS_Exec_Code_Overflow,1024,768.4980035424232,255.50199645757675,0.2495136684156023
23,177788_DoS_Exec_Code_Overflow,1024,764.5495930314064,259.4504069685936,0.2533695380552672
24,177789_DoS_Exec_Code_Overflow,1024,742.1416040062904,281.85839599370956,0.275252339837607
25,177792_DoS_Exec_Code_Overflow,1024,769.6556846499443,254.3443153500557,0.24838312045903876
