,case_name,before,after,decrease,decrease_rate
0,1_CWE-918,1023.9915378689766,758.947362780571,265.0441750884056,0.2588343411899552
1,2_CWE-918,1023.9699726104736,752.942599773407,271.02737283706665,0.26468293024854905
2,3_CWE-601,1024.0101822018623,764.6671708226204,259.34301137924194,0.25326214122362883
3,4_CWE-601,1023.9637836813927,743.1818363666534,280.7819473147392,0.27421081857530305
4,5_CWE-918,1024.0322735905647,759.1333914995193,264.8988820910454,0.25868216161022967
5,6_CWE-918,1024.0322735905647,759.1333914995193,264.8988820910454,0.25868216161022967
6,7_CWE-918,1024.013162612915,762.5297117233276,261.4834508895874,0.2553516501900964
7,8_CWE-918,1024.013162612915,762.5297117233276,261.4834508895874,0.2553516501900964
8,9_CWE-918,1024.0163247585297,765.0308021306992,258.9855226278305,0.25291151748865054
9,10_CWE-918,1024.0163247585297,765.0308021306992,258.9855226278305,0.25291151748865054
10,11_CWE-918,1024.0205628871918,755.97689473629,268.0436681509018,0.26175613836812184
11,12_CWE-918,1024.0205628871918,755.97689473629,268.0436681509018,0.26175613836812184
12,13_CWE-918,1023.9984425902367,780.7427115440369,243.2557310461998,0.23755478614877254
13,14_CWE-918,1023.9984425902367,780.7427115440369,243.2557310461998,0.23755478614877254
14,15_CWE-918,1023.9731174111366,773.4561740756035,250.51694333553314,0.24465187520635642
15,16_CWE-918,1023.9731174111366,773.4561740756035,250.51694333553314,0.24465187520635642
16,17_CWE-918,1024.0005279183388,777.4016186594963,246.59890925884247,0.24081912316993265
17,18_CWE-918,1024.0005279183388,777.4016186594963,246.59890925884247,0.24081912316993265
18,19_CWE-918,1024.0142221450806,784.1391748189926,239.87504732608795,0.23424972245366224
19,20_CWE-918,1024.0142221450806,784.1391748189926,239.87504732608795,0.23424972245366224
20,21_CWE-918,1024.005768418312,780.612703025341,243.39306539297104,0.23768720147828662
21,22_CWE-918,1024.005768418312,780.612703025341,243.39306539297104,0.23768720147828662
22,23_CWE-918,1024.0026836395264,772.1354502439499,251.86723339557648,0.2459634505061901
23,24_CWE-918,1024.0026836395264,772.1354502439499,251.86723339557648,0.2459634505061901
24,25_CWE-918,1023.9980283379555,801.032648742199,222.96537959575653,0.21774004775932057
25,26_CWE-918,1023.9980283379555,801.032648742199,222.96537959575653,0.21774004775932057
26,27_CWE-918,1024.0235953330994,797.4946564435959,226.52893888950348,0.22121456958793712
27,28_CWE-918,1024.0235953330994,797.4946564435959,226.52893888950348,0.22121456958793712
28,29_CWE-918,1023.9807569980621,740.0971816182137,283.8835753798485,0.277235263885321
29,30_CWE-918,1023.9807569980621,740.0971816182137,283.8835753798485,0.277235263885321
30,31_CWE-918,1024.0037016868591,773.878878891468,250.12482279539108,0.2442616392727449
31,32_CWE-918,1024.0037016868591,773.878878891468,250.12482279539108,0.2442616392727449
32,33_CWE-918,1023.9730336666107,772.0572946667671,251.9157389998436,0.24601794257978804
33,34_CWE-918,1023.9730336666107,772.0572946667671,251.9157389998436,0.24601794257978804
34,35_CWE-918,1024.006452202797,775.5668998360634,248.43955236673355,0.24261522164465027
35,36_CWE-918,1024.006452202797,775.5668998360634,248.43955236673355,0.24261522164465027
36,37_CWE-918,1023.9901278614998,786.0542571544647,237.93587070703506,0.2323614888787455
37,38_CWE-918,1023.9901278614998,786.0542571544647,237.93587070703506,0.2323614888787455
38,39_CWE-918,0.0,0.0,0.0,0.0
39,40_CWE-918,0.0,0.0,0.0,0.0
40,41_CWE-918,1024.0235282182693,774.8511804938316,249.1723477244377,0.24332677995981253
41,42_CWE-918,1024.0235282182693,774.8511804938316,249.1723477244377,0.24332677995981253
42,43_CWE-918,1024.0160339474678,778.3905301094055,245.6255038380623,0.23986490025083232
43,44_CWE-918,1024.0160339474678,778.3905301094055,245.6255038380623,0.23986490025083232
44,45_CWE-918,1023.9902629256248,791.0846295952797,232.90563333034515,0.22744907033091752
45,46_CWE-918,1023.9902629256248,791.0846295952797,232.90563333034515,0.22744907033091752
46,47_CWE-918,1024.011982858181,789.1117427945137,234.9002400636673,0.22939208133875857
47,48_CWE-918,1024.011982858181,789.1117427945137,234.9002400636673,0.22939208133875857
48,49_CWE-918,1023.9985227584839,785.1289683580399,238.86955440044403,0.23327138574083942
49,50_CWE-918,1023.9985227584839,785.1289683580399,238.86955440044403,0.23327138574083942
50,51_CWE-918,1023.994854748249,805.1246219873428,218.87023276090622,0.21374153565909845
51,52_CWE-918,1023.994854748249,805.1246219873428,218.87023276090622,0.21374153565909845
52,53_CWE-918,1024.0187601447105,770.2607018351555,253.75805830955505,0.24780606389837517
53,54_CWE-918,1024.0187601447105,770.2607018351555,253.75805830955505,0.24780606389837517
54,55_CWE-918,1024.0256428718567,796.7272428274155,227.29840004444122,0.22196553536197397
55,56_CWE-918,1024.0256428718567,796.7272428274155,227.29840004444122,0.22196553536197397
56,57_CWE-918,1023.9768413901329,750.4898080825806,273.48703330755234,0.26708322127312095
57,58_CWE-918,1023.9768413901329,750.4898080825806,273.48703330755234,0.26708322127312095
58,59_CWE-918,1024.010804772377,783.9637117981911,240.04709297418594,0.23441851575730685
59,60_CWE-918,1024.010804772377,783.9637117981911,240.04709297418594,0.23441851575730685
60,61_CWE-918,1024.0348529815674,722.0698434114456,301.96500957012177,0.2948776681681528
61,62_CWE-918,1024.0348529815674,722.0698434114456,301.96500957012177,0.2948776681681528
62,63_CWE-863,1024.057991027832,758.9568936824799,265.1010973453522,0.2588731299086628
63,64_CWE-863,1023.9933891296387,742.1421608924866,281.8512282371521,0.27524711705093774
64,65_CWE-863,1023.9591674804688,748.3597815036774,275.5993859767914,0.26915075789098614
65,66_CWE-203,1024.0122294425964,756.4269006848335,267.5853287577629,0.26131067682992265
66,67_CWE-203,1024.0039291381836,745.2016928195953,278.80223631858826,0.272266764203954
67,68_CWE-601,1024.0223121643066,749.9047441482544,274.11756801605225,0.2676871048216667
68,69_CWE-93,1023.969539642334,751.1147369146347,272.8548027276993,0.26646769475487103
69,70_CWE-93,1024.03466796875,749.2238249778748,274.81084299087524,0.2683608783831345
70,71_CWE-93,1024.0260200500488,756.4602999091148,267.565720140934,0.2612880091932203
71,72_CWE-93,1023.9821033477783,752.788226723671,271.19387662410736,0.26484239884415334
72,73_CWE-93,1024.0178833007812,751.5045577287674,272.51332557201385,0.266121646912654
73,74_CWE-79,1023.9987571835518,766.1862080097198,257.81254917383194,0.2517703731232352
74,75_CWE-918,1024.0073128938675,793.2943205833435,230.712992310524,0.22530404754485975
75,76_CWE-284,1024.0073128938675,793.2943205833435,230.712992310524,0.22530404754485975
76,77_CWE-918,1023.9726362228394,744.8091987967491,279.16343742609024,0.2726278296418636
77,78_CWE-116,1024.0300661921501,751.8700909018517,272.15997529029846,0.26577342235889984
78,79_CWE-918,1023.9740669727325,738.7111404538155,285.2629265189171,0.2785841318835991
79,80_CWE-601,1023.9682959914207,745.1063609719276,278.8619350194931,0.27233454015243214
80,81_CWE-264,1024.0167368650436,767.2248783707619,256.79185849428177,0.2507692005898578
81,82_CWE-78,1024.0120067596436,762.0295505523682,261.9824562072754,0.2558392425849436
82,83_CWE-22,1024.0120067596436,762.0295505523682,261.9824562072754,0.2558392425849436
83,84_CWE-352,1024.010708630085,743.7244346737862,280.2862739562988,0.27371420200406305
84,85_CWE-290,1023.9273729324341,748.5120895504951,275.41528338193893,0.268979315000804
85,86_CWE-835,1023.935438990593,752.4988582134247,271.4365807771683,0.26509149936714127
86,87_CWE-444,1024.0167549848557,775.8381966948509,248.17855829000473,0.24235790779973623
87,88_CWE-79,1024.0099136829376,769.7639416456223,254.24597203731537,0.24828467834153908
88,89_CWE-22,1024.05366897583,727.055502653122,296.99816632270813,0.29002207142106134
89,90_CWE-22,1024.05366897583,727.055502653122,296.99816632270813,0.29002207142106134
90,91_CWE-918,1024.05366897583,727.055502653122,296.99816632270813,0.29002207142106134
91,92_CWE-22,1023.9758644104004,753.2860186100006,270.6898458003998,0.2643517832876476
92,93_CWE-22,1023.9758644104004,753.2860186100006,270.6898458003998,0.2643517832876476
93,94_CWE-918,1023.9758644104004,753.2860186100006,270.6898458003998,0.2643517832876476
94,95_CWE-79,1023.9840289354324,763.003291785717,260.9807371497154,0.25486797623302737
95,96_CWE-918,1023.9989653229713,760.7872961759567,263.2116691470146,0.25704290537441815
96,97_CWE-918,1023.9989653229713,760.7872961759567,263.2116691470146,0.25704290537441815
97,98_CWE-918,1024.007928967476,776.2926956415176,247.71523332595825,0.24190753442283755
98,99_CWE-918,1024.007928967476,776.2926956415176,247.71523332595825,0.24190753442283755
99,100_CWE-918,1023.9746298193932,753.3192037940025,270.6554260253906,0.264318488118332
