blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
2414-TerocoinToken.transfer,15,113,0,0,0.8828125
6366-GameConfig.getUpgradeCardsInfo,40,88,0,0,0.6875
1673-Zlots._finishSpin,99,29,0,0,0.2265625
