blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
7006-NameFilter.nameFilter,70,51,2,5,0.4214876033057851
3129-test.record_human_readable_blockhash,86,35,2,5,0.2892561983471074
3671-Foo.doit,114,7,3,4,0.05785123966942149
