blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
2414-TerocoinToken.transfer,7,17,21,83,0.7083333333333334
4716-DateTime.toTimestamp,9,15,18,86,0.625
6366-GameConfig.getUpgradeCardsInfo,18,6,73,31,0.25
