blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,10,14,32,72,0.5833333333333334
Gemma,81,29,3,15,0.2636363636363636
GPT4o,103,23,1,1,0.18253968253968253
Mixtral,108,17,0,3,0.136
MixtralExpert,86,35,3,4,0.2892561983471074
Phi,118,4,3,3,0.03278688524590164
