blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,22,2,76,28,0.08333333333333333
Gemma,95,15,14,4,0.13636363636363635
GPT4o,125,1,2,0,0.007936507936507936
Mixtral,66,59,1,2,0.472
MixtralExpert,72,49,2,5,0.4049586776859504
Phi,107,15,6,0,0.12295081967213115
