blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
maximize-the-minimum-powered-city-Solution.maxPower,12,61,3,24,0.8356164383561644
bomb-enemy-Solution.maxKilledEnemies,15,58,2,25,0.7945205479452054
grid-illumination-Solution.gridIllumination,16,57,5,22,0.7808219178082192
maximum-star-sum-of-a-graph-Solution.maxStarSum,16,57,0,27,0.7808219178082192
smallest-integer-divisible-by-k-Solution.smallestRepunitDivByK,18,55,7,20,0.7534246575342466
count-substrings-that-satisfy-k-constraint-ii-Solution.countKConstraintSubstrings,19,54,3,24,0.7397260273972602
minimum-total-cost-to-make-arrays-unequal-Solution.minimumTotalCost,19,54,3,24,0.7397260273972602
perfect-rectangle-Solution.isRectangleCover,19,54,0,27,0.7397260273972602
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,20,53,1,26,0.726027397260274
maximum-non-negative-product-in-a-matrix-Solution.maxProductPath,20,53,4,23,0.726027397260274
maximum-sum-queries-Solution.maximumSumQueries,20,53,1,26,0.726027397260274
rotting-oranges-Solution.orangesRotting,20,53,1,26,0.726027397260274
stone-game-vi-Solution.stoneGameVI,20,53,3,24,0.726027397260274
surrounded-regions-Solution.solve,20,53,1,26,0.726027397260274
as-far-from-land-as-possible-Solution.maxDistance,21,52,1,26,0.7123287671232876
cheapest-flights-within-k-stops-Solution.findCheapestPrice,22,51,1,26,0.6986301369863014
collect-coins-in-a-tree-Solution.collectTheCoins,22,51,3,24,0.6986301369863014
get-watched-videos-by-your-friends-Solution.watchedVideosByFriends,22,51,2,25,0.6986301369863014
maximum-value-sum-by-placing-three-rooks-i-Solution.maximumValueSum,22,51,2,25,0.6986301369863014
maximum-value-sum-by-placing-three-rooks-ii-Solution.maximumValueSum,22,51,2,25,0.6986301369863014
minimum-sum-of-squared-difference-Solution.minSumSquareDiff,22,51,2,25,0.6986301369863014
shortest-subarray-with-or-at-least-k-ii-Solution.minimumSubarrayLength,22,51,2,25,0.6986301369863014
time-to-cross-a-bridge-Solution.findCrossingTime,22,51,1,26,0.6986301369863014
maximum-number-of-points-from-grid-queries-Solution.maxPoints,23,50,2,25,0.684931506849315
minimum-cost-to-reach-city-with-discounts-Solution.minimumCost,23,50,1,26,0.684931506849315
cherry-pickup-Solution.cherryPickup,24,49,4,23,0.6712328767123288
earliest-second-to-mark-indices-ii-Solution.earliestSecondToMarkIndices,24,49,3,24,0.6712328767123288
largest-color-value-in-a-directed-graph-Solution.largestPathValue,24,49,2,25,0.6712328767123288
maximum-sum-of-3-non-overlapping-subarrays-Solution.maxSumOfThreeSubarrays,24,49,3,24,0.6712328767123288
minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix-Solution.minFlips,24,49,5,22,0.6712328767123288
number-of-paths-with-max-score-Solution.pathsWithMaxScore,24,49,3,24,0.6712328767123288
walls-and-gates-Solution.wallsAndGates,24,49,2,25,0.6712328767123288
minimum-space-wasted-from-packaging-Solution.minWastedSpace,25,48,1,26,0.6575342465753424
shortest-path-with-alternating-colors-Solution.shortestAlternatingPaths,25,48,2,25,0.6575342465753424
best-poker-hand-Solution.bestHand,26,47,1,26,0.6438356164383562
count-anagrams-Solution.countAnagrams,26,47,2,25,0.6438356164383562
dice-roll-simulation-Solution.dieSimulator,26,47,2,25,0.6438356164383562
maximum-performance-of-a-team-Solution.maxPerformance,26,47,3,24,0.6438356164383562
minimum-operations-to-convert-number-Solution.minimumOperations,26,47,3,24,0.6438356164383562
minimum-subarrays-in-a-valid-split-Solution.validSubarraySplit,26,47,1,26,0.6438356164383562
