,case_name,before,after,decrease,decrease_rate
0,177736_Bypass,1024,881.6580410599709,142.34195894002914,0.1390058192773722
1,177740_DoS_Exec_Code_Overflow_Mem._Corr.,1024,869.6161741614342,154.38382583856583,0.15076545492047444
2,177741_DoS_Overflow,1024,876.4354736208916,147.56452637910843,0.14410598279209808
3,177742_DoS_Overflow,1024,874.8003236651421,149.19967633485794,0.1457028089207597
4,177743_DoS,1024,896.429374396801,127.570625603199,0.12458068906562403
5,177747_DoS,1024,875.8717574477196,148.12824255228043,0.14465648686746135
6,177750_DoS_Exec_Code,1024,873.0341675281525,150.96583247184753,0.1474275707732886
7,177766_DoS,1024,888.1523883938789,135.84761160612106,0.1326636832091026
8,177767_DoS,1024,881.5526208281517,142.4473791718483,0.1391087687225081
9,177768_DoS,1024,874.5529540777206,149.44704592227936,0.14594438078347594
10,177770_Bypass,1024,881.6035633087158,142.39643669128418,0.1390590202063322
11,177771_nan,1024,877.3220486044884,146.67795139551163,0.14324018690967932
12,177773_DoS_Exec_Code_Overflow_Mem._Corr.,1024,872.8057543635368,151.19424563646317,0.14765063050435856
13,177774_DoS_Exec_Code_Overflow,1024,877.8863200545311,146.1136799454689,0.14268914057174698
14,177775_DoS_Exec_Code_Overflow,1024,880.6943634748459,143.3056365251541,0.13994691066909581
15,177777_DoS_Exec_Code_Overflow,1024,875.5820208191872,148.41797918081284,0.14493943279376253
16,177778_DoS_Exec_Code_Overflow,1024,872.6169260144234,151.38307398557663,0.14783503318903968
17,177779_DoS_Exec_Code_Overflow,1024,873.0063291788101,150.99367082118988,0.14745475666131824
18,177780_DoS_Exec_Code_Overflow,1024,868.7056531906128,155.2943468093872,0.1516546355560422
19,177781_DoS_Exec_Code_Overflow,1024,865.5504171252251,158.44958287477493,0.1547359207761474
20,177783_DoS_Exec_Code_Overflow,1024,866.060343503952,157.93965649604797,0.15423794579692185
21,177786_DoS_Exec_Code_Overflow,1024,876.8669267892838,147.13307321071625,0.14368464180734009
22,177787_DoS_Exec_Code_Overflow,1024,885.5250109434128,138.47498905658722,0.13522948150057346
23,177788_DoS_Exec_Code_Overflow,1024,875.7680552601814,148.23194473981857,0.14475775853497908
24,177789_DoS_Exec_Code_Overflow,1024,882.8648439049721,141.13515609502792,0.1378273008740507
25,177792_DoS_Exec_Code_Overflow,1024,859.7050548195839,164.2949451804161,0.1604442824027501
26,177793_DoS_Exec_Code_Overflow,1024,860.0798172354698,163.92018276453018,0.1600783034809865
27,177794_nan,1024,862.4044826626778,161.59551733732224,0.15780812239972875
28,177795_nan,1024,871.0611732006073,152.9388267993927,0.14935432304628193
29,177796_Overflow,1024,884.1541097164154,139.8458902835846,0.13656825223006308
30,177799_Overflow,1024,884.5560824275017,139.44391757249832,0.1361757007543929
31,177807_Bypass,1024,898.6404564380646,125.35954356193542,0.12242142925970256
32,177809_Bypass,1024,867.2118500471115,156.7881499528885,0.15311342768836766
33,177811_DoS,1024,881.0429463386536,142.95705366134644,0.13960649771615863
34,177812_Bypass,1024,879.2789813280106,144.72101867198944,0.1413291197968647
35,177815_Bypass,1024,879.5792072415352,144.4207927584648,0.1410359304281883
36,177816_Bypass,1024,878.7406896948814,145.25931030511856,0.14185479521984234
37,177821_DoS,1024,883.1800862550735,140.81991374492645,0.13751944701652974
38,177823_Exec_Code_Overflow,1024,883.0187616348267,140.98123836517334,0.1376769905909896
39,177825_DoS,1024,85.24616700410843,938.7538329958916,0.9167517900350504
40,177826_DoS_Exec_Code_Overflow,1024,79.44533711671829,944.5546628832817,0.9224166629719548
41,177827_nan,1024,896.8535385727882,127.14646142721176,0.12416646623751149
42,177831_nan,1024,863.2883115410805,160.71168845891953,0.1569450082606636
43,177832_nan,1024,871.4508494734764,152.5491505265236,0.1489737798110582
44,177833_DoS_Overflow,1024,886.2823439836502,137.7176560163498,0.1344898984534666
45,177839_+Info,1024,889.5690621733665,134.43093782663345,0.13128021272132173
46,177840_+Info,1024,875.3691588640213,148.6308411359787,0.1451473057968542
47,177841_+Info,1024,877.8686058521271,146.13139414787292,0.14270643959753215
48,177842_+Info,1024,883.723596394062,140.27640360593796,0.1369886753964238
49,177843_+Info,1024,889.7758015990257,134.22419840097427,0.13107831875095144
50,177844_+Info,1024,877.1103722453117,146.88962775468826,0.14344690210418776
51,177848_nan,1024,888.2532743811607,135.74672561883926,0.13256516173714772
52,177850_DoS_Overflow,1024,871.0650662183762,152.93493378162384,0.14935052127111703
53,177851_DoS_Overflow,1024,857.8023117780685,166.19768822193146,0.16230242990422994
54,177852_DoS_Overflow,1024,863.9889122247696,160.0110877752304,0.15626082790549845
55,177853_DoS_Overflow,1024,880.504184961319,143.49581503868103,0.14013263187371194
56,177855_Bypass,1024,875.8338512182236,148.16614878177643,0.14469350466970354
57,177856_nan,1024,894.4090076684952,129.59099233150482,0.12655370344873518
58,177857_nan,1024,845.3983271121979,178.60167288780212,0.17441569617949426
59,177859_Exec_Code_Bypass,1024,869.1435191035271,154.85648089647293,0.15122703212546185
60,177860_Exec_Code_Bypass,1024,881.0043212771416,142.99567872285843,0.13964421750279143
61,177862_Exec_Code,1024,864.7873709201813,159.21262907981873,0.15548108308576047
62,177865_DoS,1024,870.054494202137,153.945505797863,0.1503374080057256
63,177867_nan,1024,881.3344722390175,142.6655277609825,0.13932180445408449
64,177869_nan,1024,882.9969640374184,141.00303596258163,0.13769827730720863
65,177870_nan,1024,881.142360150814,142.85763984918594,0.13950941391522065
66,177874_Exec_Code_Overflow,1024,881.8915372490883,142.1084627509117,0.13877779565518722
67,177875_Exec_Code_Overflow,1024,876.7391073703766,147.2608926296234,0.14380946545861661
68,177879_DoS_Exec_Code_Overflow,1024,899.9895549416542,124.0104450583458,0.12110395025229082
69,177880_Bypass,1024,869.7447683215141,154.25523167848587,0.15063987468602136
70,177881_DoS,1024,872.2827132940292,151.71728670597076,0.14816141279879957
71,177883_nan,1024,886.3095253109932,137.6904746890068,0.1344633541884832
72,177887_DoS_Overflow,1024,882.6266774535179,141.3733225464821,0.1380598852992989
73,177891_DoS,1024,864.6460803151131,159.35391968488693,0.1556190621922724
74,177893_+Info,1024,882.8440289497375,141.15597105026245,0.13784762797877192
75,177896_nan,1024,873.5029975771904,150.4970024228096,0.146969728928525
76,177897_+Info,1024,876.9506776928902,147.04932230710983,0.14360285381553695
77,177898_+Info,1024,866.9184232354164,157.0815767645836,0.15339997730916366
78,177899_+Info,1024,877.1234477758408,146.87655222415924,0.1434341330314055
79,177900_+Info,1024,866.749445438385,157.250554561615,0.15356499468907714
80,177901_Overflow,1024,859.4662137627602,164.53378623723984,0.16067752562230453
81,177904_DoS,1024,868.9856056571007,155.01439434289932,0.15138124447548762
82,177905_DoS,1024,886.7347400188446,137.2652599811554,0.13404810545034707
83,177906_DoS_Exec_Code_Overflow,1024,881.3349210619926,142.66507893800735,0.1393213661503978
84,177907_DoS_Exec_Code_Overflow,1024,859.2290674448013,164.77093255519867,0.1609091138234362
85,177909_DoS_Exec_Code_Overflow,1024,865.4448635578156,158.55513644218445,0.15483900043182075
86,177910_DoS,1024,875.4680862426758,148.53191375732422,0.14505069702863693
87,177911_Exec_Code_Overflow,1024,861.1722285747528,162.8277714252472,0.15901149553246796
88,177912_Exec_Code_Overflow,1024,867.0786216855049,156.9213783144951,0.1532435335102491
89,177913_Exec_Code_Overflow,1024,863.662534058094,160.33746594190598,0.15657955658389255
90,177915_Exec_Code_Overflow,1024,887.0815967917442,136.91840320825577,0.13370937813306227
91,177917_Exec_Code,1024,868.9793085455894,155.02069145441055,0.1513873939984478
92,177918_Exec_Code,1024,867.3257848024368,156.67421519756317,0.15300216327887028
93,177919_nan,1024,878.2512587308884,145.74874126911163,0.14233275514561683
94,177920_nan,1024,869.2261465787888,154.77385342121124,0.1511463412316516
95,177921_nan,1024,877.6365233063698,146.36347669363022,0.14293308270862326
96,177922_Exec_Code_Overflow,1024,889.7494720816612,134.25052791833878,0.1311040311702527
97,177923_Bypass,1024,890.8995063304901,133.1004936695099,0.12998095084913075
98,177926_Exec_Code_Overflow,1024,888.0648903846741,135.93510961532593,0.13274913048371673
99,177927_nan,1024,897.5944811701775,126.40551882982254,0.12344288948224857
