blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
candy-crush-Solution.candyCrush,13,78,0,9,0.8571428571428571
surrounded-regions-Solution.solve,13,78,0,9,0.8571428571428571
maximum-value-sum-by-placing-three-rooks-i-Solution.maximumValueSum,14,77,3,6,0.8461538461538461
maximum-value-sum-by-placing-three-rooks-ii-Solution.maximumValueSum,16,75,3,6,0.8241758241758241
count-anagrams-Solution.countAnagrams,21,70,0,9,0.7692307692307693
cherry-pickup-Solution.cherryPickup,22,69,0,9,0.7582417582417582
find-products-of-elements-of-big-array-Solution.findProductsOfElements,23,68,1,8,0.7472527472527473
get-biggest-three-rhombus-sums-in-a-grid-Solution.getBiggestThree,25,66,0,9,0.7252747252747253
maximum-sum-of-3-non-overlapping-subarrays-Solution.maxSumOfThreeSubarrays,25,66,0,9,0.7252747252747253
find-the-largest-palindrome-divisible-by-k-Solution.largestPalindrome,26,65,1,8,0.7142857142857143
grid-illumination-Solution.gridIllumination,27,64,0,9,0.7032967032967034
number-of-ways-of-cutting-a-pizza-Solution.ways,27,64,0,9,0.7032967032967034
cat-and-mouse-ii-Solution2.canMouseWin,28,63,2,7,0.6923076923076923
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,30,61,0,9,0.6703296703296703
find-k-pairs-with-smallest-sums-Solution.kSmallestPairs,30,61,0,9,0.6703296703296703
bomb-enemy-Solution.maxKilledEnemies,31,60,0,9,0.6593406593406593
minimum-height-trees-Solution.findMinHeightTrees,32,59,2,7,0.6483516483516484
perfect-rectangle-Solution.isRectangleCover,32,59,0,9,0.6483516483516484
best-time-to-buy-and-sell-stock-iv-Solution.maxProfit,33,58,0,9,0.6373626373626373
number-of-paths-with-max-score-Solution.pathsWithMaxScore,33,58,0,9,0.6373626373626373
sum-of-remoteness-of-all-cells-Solution.sumRemoteness,33,58,0,9,0.6373626373626373
k-highest-ranked-items-within-a-price-range-Solution.highestRankedKItems,34,57,0,9,0.6263736263736264
minimum-cost-to-reach-city-with-discounts-Solution.minimumCost,34,57,0,9,0.6263736263736264
shortest-path-with-alternating-colors-Solution.shortestAlternatingPaths,34,57,3,6,0.6263736263736264
erect-the-fence-Solution.outerTrees,35,56,0,9,0.6153846153846154
find-the-grid-of-region-average-Solution.resultGrid,35,56,0,9,0.6153846153846154
apply-operations-to-maximize-score-Solution.maximumScore,37,54,3,6,0.5934065934065934
find-shortest-path-with-k-hops-Solution.shortestPathWithHops,37,54,0,9,0.5934065934065934
maximum-trailing-zeros-in-a-cornered-path-Solution.maxTrailingZeros,37,54,2,7,0.5934065934065934
decode-ways-ii-Solution.numDecodings,39,52,0,9,0.5714285714285714
palindrome-partitioning-iii-Solution.palindromePartition,39,52,0,9,0.5714285714285714
build-a-matrix-with-conditions-Solution.buildMatrix,40,51,0,9,0.5604395604395604
sum-game-Solution.sumGame,40,51,0,9,0.5604395604395604
find-the-shortest-superstring-Solution.shortestSuperstring,41,50,1,8,0.5494505494505495
maximum-number-of-moves-to-kill-all-pawns-Solution.maxMoves,41,50,3,6,0.5494505494505495
shortest-common-supersequence-Solution.shortestCommonSupersequence,41,50,0,9,0.5494505494505495
shortest-path-to-get-food-Solution.getFood,41,50,0,9,0.5494505494505495
find-number-of-ways-to-reach-the-k-th-stair-Solution.waysToReachStair,42,49,2,7,0.5384615384615384
majority-element-ii-Solution.majorityElement,43,48,2,7,0.5274725274725275
process-tasks-using-servers-Solution.assignTasks,43,48,0,9,0.5274725274725275
cheapest-flights-within-k-stops-Solution.findCheapestPrice,44,47,1,8,0.5164835164835165
count-the-number-of-winning-sequences-Solution.countWinningSequences,44,47,1,8,0.5164835164835165
minimum-adjacent-swaps-for-k-consecutive-ones-Solution.minMoves,44,47,0,9,0.5164835164835165
super-palindromes-Solution.superpalindromesInRange,44,47,0,9,0.5164835164835165
distribute-repeating-integers-Solution.canDistribute,45,46,0,9,0.5054945054945055
number-of-atoms-Solution.countOfAtoms,45,46,1,8,0.5054945054945055
smallest-integer-divisible-by-k-Solution.smallestRepunitDivByK,45,46,0,9,0.5054945054945055
sum-of-special-evenly-spaced-elements-in-array-Solution.solve,45,46,0,9,0.5054945054945055
minimum-time-to-visit-a-cell-in-a-grid-Solution.minimumTime,47,44,0,9,0.4835164835164835
build-array-where-you-can-find-the-maximum-exactly-k-comparisons-Solution.numOfArrays,48,43,0,9,0.4725274725274725
stamping-the-sequence-Solution.movesToStamp,48,43,0,9,0.4725274725274725
stamping-the-grid-Solution.possibleToStamp,49,42,0,9,0.46153846153846156
strong-password-checker-Solution.strongPasswordChecker,49,42,1,8,0.46153846153846156
minimum-cost-to-merge-stones-Solution.mergeStones,50,41,3,6,0.45054945054945056
rearrange-spaces-between-words-Solution.reorderSpaces,50,41,0,9,0.45054945054945056
minimum-garden-perimeter-to-collect-enough-apples-Solution3.minimumPerimeter,51,40,0,9,0.43956043956043955
permutation-sequence-Solution.getPermutation,51,40,0,9,0.43956043956043955
the-most-similar-path-in-a-graph-Solution.mostSimilar,51,40,3,6,0.43956043956043955
maximum-average-pass-ratio-Solution.maxAverageRatio,52,39,1,8,0.42857142857142855
minimum-jumps-to-reach-home-Solution.minimumJumps,53,38,3,6,0.4175824175824176
number-of-distinct-roll-sequences-Solution.distinctSequences,53,38,2,7,0.4175824175824176
implement-magic-dictionary-MagicDictionary.find,54,37,1,8,0.4065934065934066
lfu-cache-LFUCache.update,54,37,0,9,0.4065934065934066
number-of-ways-to-reconstruct-a-tree-Solution.checkWays,54,37,2,7,0.4065934065934066
divide-two-integers-Solution2.divide,55,36,0,9,0.3956043956043956
shortest-subarray-with-sum-at-least-k-Solution.shortestSubarray,55,36,1,8,0.3956043956043956
dice-roll-simulation-Solution.dieSimulator,56,35,0,9,0.38461538461538464
largest-color-value-in-a-directed-graph-Solution.largestPathValue,56,35,1,8,0.38461538461538464
maximize-score-after-n-operations-Solution.maxScore,56,35,1,8,0.38461538461538464
closest-subsequence-sum-Solution.minAbsDifference,57,34,0,9,0.37362637362637363
maximize-the-number-of-partitions-after-operations-Solution.maxPartitionsAfterOperations,57,34,1,8,0.37362637362637363
partition-array-into-two-arrays-to-minimize-sum-difference-Solution.minimumDifference,57,34,2,7,0.37362637362637363
range-sum-query-2d-mutable-SegmentTreeNode.updateHelper,58,33,0,9,0.3626373626373626
find-median-from-data-stream-MedianFinder2.addNum,59,32,1,8,0.3516483516483517
guess-the-majority-in-a-hidden-array-Solution.guessMajority,59,32,1,8,0.3516483516483517
number-of-pairs-of-interchangeable-rectangles-Solution.interchangeableRectangles,59,32,1,8,0.3516483516483517
reachable-nodes-in-subdivided-graph-Solution.reachableNodes,59,32,0,9,0.3516483516483517
encode-n-ary-tree-to-binary-tree-Codec.decodeHelper,60,31,0,9,0.34065934065934067
execution-of-all-suffix-instructions-staying-in-a-grid-Solution.executeInstructions,60,31,0,9,0.34065934065934067
maximum-score-of-a-node-sequence-Solution.maximumScore,60,31,1,8,0.34065934065934067
circular-array-loop-Solution.circularArrayLoop,61,30,1,8,0.32967032967032966
flatten-nested-list-iterator-NestedIterator2.hasNext,61,30,2,7,0.32967032967032966
maximum-of-absolute-value-expression-Solution.maxAbsValExpr,61,30,1,8,0.32967032967032966
next-permutation-Solution2.nextPermutation,61,30,3,6,0.32967032967032966
word-pattern-Solution.wordPattern,61,30,2,7,0.32967032967032966
double-modular-exponentiation-Solution.getGoodIndices,62,29,0,9,0.31868131868131866
strings-differ-by-one-character-Solution.differByOne,62,29,2,7,0.31868131868131866
coin-path-Solution.cheapestJump,63,28,2,7,0.3076923076923077
intersection-of-two-arrays-Solution3.intersection,63,28,0,9,0.3076923076923077
reconstruct-original-digits-from-english-Solution.originalDigits,63,28,4,5,0.3076923076923077
number-of-different-subsequences-gcds-Solution.countDifferentSubsequenceGCDs,64,27,1,8,0.2967032967032967
