blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
maxProfitIII-Solution.maxProfit,14,53,7,26,0.7910447761194029
count-anagrams-Solution.countAnagrams,17,50,6,27,0.746268656716418
determine-whether-matrix-can-be-obtained-by-rotation-Solution.findRotation,18,49,10,23,0.7313432835820896
find-the-largest-palindrome-divisible-by-k-Solution.largestPalindrome,18,49,12,21,0.7313432835820896
recover-the-original-array-Solution.recoverArray,19,48,13,20,0.7164179104477612
apply-operations-to-maximize-score-Solution.maximumScore,20,47,10,23,0.7014925373134329
maximum-number-of-moves-to-kill-all-pawns-Solution.maxMoves,21,46,6,27,0.6865671641791045
minimum-cost-to-reach-city-with-discounts-Solution.minimumCost,21,46,16,17,0.6865671641791045
fair-distribution-of-cookies-Solution.distributeCookies,22,45,13,20,0.6716417910447762
find-k-pairs-with-smallest-sums-Solution.kSmallestPairs,22,45,13,20,0.6716417910447762
sortColors-Solution.sortColors,22,45,6,27,0.6716417910447762
filter-restaurants-by-vegan-friendly-price-and-distance-Solution.filterRestaurants,23,44,14,19,0.6567164179104478
minCut-Solution.minCut,23,44,10,23,0.6567164179104478
cheapest-flights-within-k-stops-Solution.findCheapestPrice,24,43,13,20,0.6417910447761194
find-the-shortest-superstring-Solution.shortestSuperstring,24,43,10,23,0.6417910447761194
minimum-height-trees-Solution.findMinHeightTrees,24,43,15,18,0.6417910447761194
dice-roll-simulation-Solution.dieSimulator,25,42,10,23,0.6268656716417911
find-all-possible-recipes-from-given-supplies-Solution.findAllRecipes,25,42,15,18,0.6268656716417911
maximum-value-sum-by-placing-three-rooks-i-Solution.maximumValueSum,25,42,14,19,0.6268656716417911
maximum-value-sum-by-placing-three-rooks-ii-Solution.maximumValueSum,25,42,12,21,0.6268656716417911
partition-array-into-two-arrays-to-minimize-sum-difference-Solution.minimumDifference,25,42,13,20,0.6268656716417911
perfect-rectangle-Solution.isRectangleCover,25,42,12,21,0.6268656716417911
canCompleteCircuit-Solution.canCompleteCircuit,26,41,7,26,0.6119402985074627
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,26,41,14,19,0.6119402985074627
k-highest-ranked-items-within-a-price-range-Solution.highestRankedKItems,26,41,12,21,0.6119402985074627
minDistance-Solution.minDistance,26,41,14,19,0.6119402985074627
minimum-jumps-to-reach-home-Solution.minimumJumps,26,41,14,19,0.6119402985074627
uniquePathWithObstacles-Solution.uniquePathsWithObstacles,26,41,6,27,0.6119402985074627
get-biggest-three-rhombus-sums-in-a-grid-Solution.getBiggestThree,27,40,19,14,0.5970149253731343
