blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
5936-StringYokes.zint_bytes32ToString,0,24,5,99,1.0
1721-StringYokes.zint_bytes32ToString,1,23,6,98,0.9583333333333334
1726-StringYokes.zint_bytes32ToString,1,23,5,99,0.9583333333333334
2418-Untitled.test,1,23,2,102,0.9583333333333334
1905-StringYokes.zint_bytes32ToString,2,22,5,99,0.9166666666666666
2979-WhiteList.canTransfer,2,22,4,100,0.9166666666666666
3655-Factory.createPermissionsBot,2,22,4,100,0.9166666666666666
526-GetsBurned.BurnMe,2,22,7,97,0.9166666666666666
8543-ConvertLib.convert,2,22,2,102,0.9166666666666666
1851-secondContract.BirthdayBoyClickHere,3,21,13,91,0.875
2297-BITXMultiTransfer.multisend,3,21,12,92,0.875
2742-Hasher.hashLoop,3,21,11,93,0.875
4500-OrderString.getOrderString,3,21,5,99,0.875
5716-ViewBalances.checkBalances,3,21,10,94,0.875
7540-LoeriadeNabidaz.pay,3,21,5,99,0.875
1138-Destroy.delegatecall_selfdestruct,4,20,7,97,0.8333333333333334
2946-SuicideContract.NukeContract,4,20,33,71,0.8333333333333334
5958-VpaxContract.transferCoins,4,20,5,99,0.8333333333333334
6158-GongChuangToken.GongChuangToken,4,20,5,99,0.8333333333333334
8350-EthealHelper.forwardable,4,20,17,87,0.8333333333333334
2015-AirDropContract.transfer,5,19,22,82,0.7916666666666666
2844-InternalTxsTest.batch,5,19,15,89,0.7916666666666666
3829-ECRecovery.recover,5,19,17,87,0.7916666666666666
761-MultiTransfer.transfer,5,19,11,93,0.7916666666666666
8406-balanceChecker.checkBals,5,19,9,95,0.7916666666666666
9757-ZhenNet.store,5,19,4,100,0.7916666666666666
9877-Authority.canCall,5,19,14,90,0.7916666666666666
9880-Authority.canCall,5,19,13,91,0.7916666666666666
1004-Airdrop.doAirdrop,6,18,19,85,0.75
4479-cyberEntry2.cyberEntry2,6,18,13,91,0.75
449-Airdrop.multisend,6,18,14,90,0.75
1871-T_TOTAL.retrieve,7,17,9,95,0.7083333333333334
3129-test.record_human_readable_blockhash,7,17,37,67,0.7083333333333334
3682-Foo.doit,7,17,24,80,0.7083333333333334
7006-NameFilter.nameFilter,7,17,14,90,0.7083333333333334
7041-Airdrop.drop,7,17,21,83,0.7083333333333334
9192-proofofpower.uploadData,7,17,11,93,0.7083333333333334
1863-StringLib.generateName,8,16,20,84,0.6666666666666666
3490-RatForward.get,8,16,27,77,0.6666666666666666
3671-Foo.doit,8,16,26,78,0.6666666666666666
7451-AirDrop.airDrop,8,16,16,88,0.6666666666666666
9700-Airdrop.drop,8,16,19,85,0.6666666666666666
1967-CustomToken.CustomToken,9,15,24,80,0.625
1976-Airdropper.multisend,9,15,31,73,0.625
2273-Airdropper.multisend,9,15,24,80,0.625
2931-StringDump.emitEvent,9,15,7,97,0.625
450-EBU.transfer,9,15,27,77,0.625
5267-MultiTransfer.multiTransfer,9,15,17,87,0.625
