blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
surrounded-regions-Solution.solve,14,83,0,3,0.8556701030927835
candy-crush-Solution.candyCrush,18,79,0,3,0.8144329896907216
maximum-value-sum-by-placing-three-rooks-i-Solution.maximumValueSum,18,79,0,3,0.8144329896907216
maximum-value-sum-by-placing-three-rooks-ii-Solution.maximumValueSum,21,76,0,3,0.7835051546391752
cherry-pickup-Solution.cherryPickup,22,75,0,3,0.7731958762886598
count-anagrams-Solution.countAnagrams,24,73,0,3,0.7525773195876289
find-products-of-elements-of-big-array-Solution.findProductsOfElements,24,73,0,3,0.7525773195876289
maximum-sum-of-3-non-overlapping-subarrays-Solution.maxSumOfThreeSubarrays,26,71,0,3,0.7319587628865979
get-biggest-three-rhombus-sums-in-a-grid-Solution.getBiggestThree,29,68,0,3,0.7010309278350515
grid-illumination-Solution.gridIllumination,30,67,0,3,0.6907216494845361
find-k-pairs-with-smallest-sums-Solution.kSmallestPairs,31,66,0,3,0.6804123711340206
number-of-ways-of-cutting-a-pizza-Solution.ways,31,66,0,3,0.6804123711340206
cat-and-mouse-ii-Solution2.canMouseWin,32,65,0,3,0.6701030927835051
check-if-there-is-a-valid-path-in-a-grid-Solution.hasValidPath,32,65,0,3,0.6701030927835051
find-the-largest-palindrome-divisible-by-k-Solution.largestPalindrome,32,65,0,3,0.6701030927835051
best-time-to-buy-and-sell-stock-iv-Solution.maxProfit,34,63,0,3,0.6494845360824743
bomb-enemy-Solution.maxKilledEnemies,34,63,0,3,0.6494845360824743
minimum-height-trees-Solution.findMinHeightTrees,34,63,0,3,0.6494845360824743
number-of-paths-with-max-score-Solution.pathsWithMaxScore,34,63,0,3,0.6494845360824743
perfect-rectangle-Solution.isRectangleCover,34,63,0,3,0.6494845360824743
k-highest-ranked-items-within-a-price-range-Solution.highestRankedKItems,37,60,0,3,0.6185567010309279
minimum-cost-to-reach-city-with-discounts-Solution.minimumCost,37,60,0,3,0.6185567010309279
shortest-path-with-alternating-colors-Solution.shortestAlternatingPaths,38,59,0,3,0.6082474226804123
sum-of-remoteness-of-all-cells-Solution.sumRemoteness,38,59,0,3,0.6082474226804123
erect-the-fence-Solution.outerTrees,40,57,0,3,0.5876288659793815
find-shortest-path-with-k-hops-Solution.shortestPathWithHops,40,57,0,3,0.5876288659793815
find-the-grid-of-region-average-Solution.resultGrid,40,57,0,3,0.5876288659793815
maximum-trailing-zeros-in-a-cornered-path-Solution.maxTrailingZeros,41,56,0,3,0.5773195876288659
decode-ways-ii-Solution.numDecodings,42,55,0,3,0.5670103092783505
palindrome-partitioning-iii-Solution.palindromePartition,42,55,0,3,0.5670103092783505
apply-operations-to-maximize-score-Solution.maximumScore,44,53,0,3,0.5463917525773195
find-the-shortest-superstring-Solution.shortestSuperstring,44,53,0,3,0.5463917525773195
shortest-common-supersequence-Solution.shortestCommonSupersequence,46,51,0,3,0.5257731958762887
sum-game-Solution.sumGame,46,51,0,3,0.5257731958762887
majority-element-ii-Solution.majorityElement,47,50,0,3,0.5154639175257731
build-a-matrix-with-conditions-Solution.buildMatrix,48,49,0,3,0.5051546391752577
count-the-number-of-winning-sequences-Solution.countWinningSequences,48,49,0,3,0.5051546391752577
find-number-of-ways-to-reach-the-k-th-stair-Solution.waysToReachStair,48,49,0,3,0.5051546391752577
minimum-adjacent-swaps-for-k-consecutive-ones-Solution.minMoves,48,49,0,3,0.5051546391752577
distribute-repeating-integers-Solution.canDistribute,49,48,0,3,0.4948453608247423
maximum-number-of-moves-to-kill-all-pawns-Solution.maxMoves,49,48,0,3,0.4948453608247423
process-tasks-using-servers-Solution.assignTasks,50,47,0,3,0.4845360824742268
cheapest-flights-within-k-stops-Solution.findCheapestPrice,51,46,0,3,0.4742268041237113
minimum-time-to-visit-a-cell-in-a-grid-Solution.minimumTime,51,46,0,3,0.4742268041237113
shortest-path-to-get-food-Solution.getFood,51,46,0,3,0.4742268041237113
smallest-integer-divisible-by-k-Solution.smallestRepunitDivByK,51,46,0,3,0.4742268041237113
super-palindromes-Solution.superpalindromesInRange,52,45,0,3,0.4639175257731959
strong-password-checker-Solution.strongPasswordChecker,53,44,0,3,0.4536082474226804
sum-of-special-evenly-spaced-elements-in-array-Solution.solve,53,44,0,3,0.4536082474226804
build-array-where-you-can-find-the-maximum-exactly-k-comparisons-Solution.numOfArrays,54,43,0,3,0.44329896907216493
stamping-the-grid-Solution.possibleToStamp,54,43,0,3,0.44329896907216493
number-of-atoms-Solution.countOfAtoms,55,42,0,3,0.4329896907216495
minimum-cost-to-merge-stones-Solution.mergeStones,56,41,0,3,0.422680412371134
stamping-the-sequence-Solution.movesToStamp,56,41,0,3,0.422680412371134
maximum-average-pass-ratio-Solution.maxAverageRatio,57,40,0,3,0.41237113402061853
permutation-sequence-Solution.getPermutation,57,40,0,3,0.41237113402061853
rearrange-spaces-between-words-Solution.reorderSpaces,59,38,0,3,0.3917525773195876
the-most-similar-path-in-a-graph-Solution.mostSimilar,59,38,0,3,0.3917525773195876
minimum-garden-perimeter-to-collect-enough-apples-Solution3.minimumPerimeter,60,37,0,3,0.38144329896907214
closest-subsequence-sum-Solution.minAbsDifference,61,36,0,3,0.3711340206185567
implement-magic-dictionary-MagicDictionary.find,61,36,0,3,0.3711340206185567
number-of-distinct-roll-sequences-Solution.distinctSequences,61,36,0,3,0.3711340206185567
maximize-the-number-of-partitions-after-operations-Solution.maxPartitionsAfterOperations,62,35,1,2,0.36082474226804123
dice-roll-simulation-Solution.dieSimulator,63,34,0,3,0.35051546391752575
largest-color-value-in-a-directed-graph-Solution.largestPathValue,63,34,0,3,0.35051546391752575
maximize-score-after-n-operations-Solution.maxScore,64,33,0,3,0.3402061855670103
number-of-ways-to-reconstruct-a-tree-Solution.checkWays,64,33,0,3,0.3402061855670103
minimum-jumps-to-reach-home-Solution.minimumJumps,65,32,0,3,0.32989690721649484
partition-array-into-two-arrays-to-minimize-sum-difference-Solution.minimumDifference,65,32,1,2,0.32989690721649484
shortest-subarray-with-sum-at-least-k-Solution.shortestSubarray,65,32,0,3,0.32989690721649484
execution-of-all-suffix-instructions-staying-in-a-grid-Solution.executeInstructions,66,31,0,3,0.31958762886597936
find-median-from-data-stream-MedianFinder2.addNum,66,31,0,3,0.31958762886597936
lfu-cache-LFUCache.update,66,31,0,3,0.31958762886597936
maximum-score-of-a-node-sequence-Solution.maximumScore,67,30,0,3,0.30927835051546393
maximum-of-absolute-value-expression-Solution.maxAbsValExpr,68,29,1,2,0.29896907216494845
encode-n-ary-tree-to-binary-tree-Codec.decodeHelper,69,28,0,3,0.28865979381443296
guess-the-majority-in-a-hidden-array-Solution.guessMajority,69,28,0,3,0.28865979381443296
word-pattern-Solution.wordPattern,69,28,0,3,0.28865979381443296
next-permutation-Solution2.nextPermutation,70,27,0,3,0.27835051546391754
reachable-nodes-in-subdivided-graph-Solution.reachableNodes,70,27,0,3,0.27835051546391754
circular-array-loop-Solution.circularArrayLoop,71,26,0,3,0.26804123711340205
coin-path-Solution.cheapestJump,71,26,0,3,0.26804123711340205
divide-two-integers-Solution2.divide,71,26,0,3,0.26804123711340205
number-of-pairs-of-interchangeable-rectangles-Solution.interchangeableRectangles,71,26,0,3,0.26804123711340205
strings-differ-by-one-character-Solution.differByOne,71,26,0,3,0.26804123711340205
flatten-nested-list-iterator-NestedIterator2.hasNext,72,25,0,3,0.25773195876288657
range-sum-query-2d-mutable-SegmentTreeNode.updateHelper,73,24,0,3,0.24742268041237114
double-modular-exponentiation-Solution.getGoodIndices,74,23,0,3,0.23711340206185566
number-of-different-subsequences-gcds-Solution.countDifferentSubsequenceGCDs,74,23,0,3,0.23711340206185566
logger-rate-limiter-Logger2.shouldPrintMessage,75,22,0,3,0.2268041237113402
random-pick-with-blacklist-Solution2.pick,75,22,0,3,0.2268041237113402
reconstruct-original-digits-from-english-Solution.originalDigits,75,22,1,2,0.2268041237113402
remove-methods-from-project-Solution.remainingMethods,76,21,0,3,0.21649484536082475
intersection-of-two-arrays-Solution3.intersection,77,20,0,3,0.20618556701030927
encode-and-decode-tinyurl-Solution.getRand,78,19,0,3,0.1958762886597938
minimum-time-to-revert-word-to-initial-state-ii-Solution.minimumTimeToInitialState,79,18,0,3,0.18556701030927836
serialize-and-deserialize-bst-Codec.deserializeHelper,79,18,0,3,0.18556701030927836
serialize-and-deserialize-n-ary-tree-Codec2.deserialize,82,15,0,3,0.15463917525773196
two-sum-iii-data-structure-design-TwoSum.find,84,13,0,3,0.13402061855670103
design-in-memory-file-system-FileSystem.split,85,12,0,3,0.12371134020618557
