blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,1,23,5,99,0.9583333333333334
Gemma,65,45,4,14,0.4090909090909091
GPT4o,125,1,1,1,0.007936507936507936
Mixtral,102,23,0,3,0.184
MixtralExpert,101,20,2,5,0.1652892561983471
Phi,120,2,6,0,0.01639344262295082
