blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,9,69,6,16,0.8846153846153846
Gemma,57,30,4,9,0.3448275862068966
Mixtral,10,32,2,56,0.7619047619047619
MixtralExpert,9,34,11,46,0.7906976744186046
Phi,14,15,2,69,0.5172413793103449
