blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,9,15,31,73,0.625
Gemma,61,49,2,16,0.44545454545454544
GPT4o,107,19,1,1,0.15079365079365079
Mixtral,117,8,1,2,0.064
MixtralExpert,109,12,2,5,0.09917355371900827
Phi,119,3,2,4,0.02459016393442623
