blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,10,14,30,74,0.5833333333333334
Gemma,68,42,2,16,0.38181818181818183
GPT4o,103,23,0,2,0.18253968253968253
Mixtral,113,12,1,2,0.096
MixtralExpert,107,14,5,2,0.11570247933884298
Phi,118,4,3,3,0.03278688524590164
