blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,5,19,4,100,0.7916666666666666
Gemma,40,70,2,16,0.6363636363636364
GPT4o,124,2,1,1,0.015873015873015872
Mixtral,121,4,1,2,0.032
MixtralExpert,107,14,5,2,0.11570247933884298
Phi,122,0,4,2,0.0
