blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,11,13,28,76,0.5416666666666666
Gemma,70,40,4,14,0.36363636363636365
GPT4o,118,8,1,1,0.06349206349206349
Mixtral,110,15,0,3,0.12
MixtralExpert,118,3,4,3,0.024793388429752067
Phi,122,0,6,0,0.0
