blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,22,2,77,27,0.08333333333333333
Gemma,95,15,13,5,0.13636363636363635
GPT4o,123,3,2,0,0.023809523809523808
Mixtral,66,59,1,2,0.472
MixtralExpert,70,51,2,5,0.4214876033057851
Phi,107,15,6,0,0.12295081967213115
