blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,7,17,18,86,0.7083333333333334
Gemma,107,3,17,1,0.02727272727272727
GPT4o,117,9,1,1,0.07142857142857142
Mixtral,108,17,3,0,0.136
MixtralExpert,111,10,6,1,0.08264462809917356
Phi,122,0,6,0,0.0
