blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,13,11,40,64,0.4583333333333333
Gemma,109,1,18,0,0.00909090909090909
GPT4o,0,126,0,2,1.0
Mixtral,125,0,3,0,0.0
MixtralExpert,120,1,7,0,0.008264462809917356
Phi,122,0,6,0,0.0
