blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,7,17,15,89,0.7083333333333334
Gemma,73,37,4,14,0.33636363636363636
GPT4o,125,1,1,1,0.007936507936507936
Mixtral,114,11,2,1,0.088
MixtralExpert,105,16,6,1,0.1322314049586777
Phi,121,1,6,0,0.00819672131147541
