blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,17,7,36,68,0.2916666666666667
Gemma,95,15,9,9,0.13636363636363635
GPT4o,0,126,0,2,1.0
Mixtral,124,1,3,0,0.008
MixtralExpert,115,6,5,2,0.049586776859504134
Phi,122,0,5,1,0.0
