blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,9,15,28,76,0.625
Gemma,84,26,8,10,0.23636363636363636
GPT4o,118,8,1,1,0.06349206349206349
Mixtral,124,1,3,0,0.008
MixtralExpert,120,1,6,1,0.008264462809917356
Phi,122,0,6,0,0.0
