blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,14,10,31,73,0.4166666666666667
Gemma,84,26,8,10,0.23636363636363636
GPT4o,118,8,1,1,0.06349206349206349
Mixtral,119,6,3,0,0.048
MixtralExpert,121,0,7,0,0.0
Phi,122,0,6,0,0.0
