blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,4,23,3,98,0.8518518518518519
Gemma,70,48,1,9,0.4067796610169492
GPT4o,121,5,1,1,0.03968253968253968
Mixtral,124,4,0,0,0.03125
MixtralExpert,125,3,0,0,0.0234375
Phi,127,0,1,0,0.0
