blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,16,11,21,80,0.4074074074074074
Gemma,101,17,2,8,0.1440677966101695
GPT4o,104,22,1,1,0.1746031746031746
Mixtral,120,8,0,0,0.0625
MixtralExpert,128,0,0,0,0.0
Phi,127,0,1,0,0.0
