blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,1,26,5,96,0.9629629629629629
Gemma,86,32,1,9,0.2711864406779661
GPT4o,124,2,1,1,0.015873015873015872
Mixtral,111,17,0,0,0.1328125
MixtralExpert,112,16,0,0,0.125
Phi,125,2,1,0,0.015748031496062992
