blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,20,7,47,54,0.25925925925925924
Gemma,116,2,9,1,0.01694915254237288
GPT4o,61,65,0,2,0.5158730158730159
Mixtral,123,5,0,0,0.0390625
MixtralExpert,123,5,0,0,0.0390625
Phi,122,5,1,0,0.03937007874015748
