blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,9,18,16,85,0.6666666666666666
Gemma,65,53,1,9,0.4491525423728814
GPT4o,121,5,2,0,0.03968253968253968
Mixtral,61,67,0,0,0.5234375
MixtralExpert,83,45,0,0,0.3515625
Phi,105,22,1,0,0.1732283464566929
