blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
CodeLlama,13,11,40,64,0.4583333333333333
Gemma,98,12,12,6,0.10909090909090909
GPT4o,123,3,1,1,0.023809523809523808
Mixtral,124,1,3,0,0.008
MixtralExpert,121,0,7,0,0.0
Phi,122,0,6,0,0.0
