,cosine-similarity
100_CWE-918.py,0.9153
10_CWE-918.py,0.8399
11_CWE-918.py,0.8458
12_CWE-918.py,0.8458
13_CWE-918.py,0.9187
14_CWE-918.py,0.9187
15_CWE-918.py,0.8864
16_CWE-918.py,0.8864
17_CWE-918.py,0.9889
18_CWE-918.py,0.9889
19_CWE-918.py,0.8976
1_CWE-918.py,0.8866
20_CWE-918.py,0.8976
21_CWE-918.py,0.9571
22_CWE-918.py,0.9571
23_CWE-918.py,0.8683
24_CWE-918.py,0.8683
25_CWE-918.py,0.9806
26_CWE-918.py,0.9806
27_CWE-918.py,0.9631
28_CWE-918.py,0.9631
29_CWE-918.py,0.8588
2_CWE-918.py,0.8463
30_CWE-918.py,0.8588
31_CWE-918.py,0.9042
32_CWE-918.py,0.9042
33_CWE-918.py,0.8879
34_CWE-918.py,0.8879
35_CWE-918.py,0.8901
36_CWE-918.py,0.8901
37_CWE-918.py,0.9286
38_CWE-918.py,0.9286
39_CWE-918.py,0.9929
3_CWE-601.py,0.9902
40_CWE-918.py,0.9929
41_CWE-918.py,0.8981
42_CWE-918.py,0.8981
43_CWE-918.py,0.9323
44_CWE-918.py,0.9323
45_CWE-918.py,0.8866
46_CWE-918.py,0.8866
47_CWE-918.py,0.9512
48_CWE-918.py,0.9512
49_CWE-918.py,0.8867
4_CWE-601.py,0.9196
50_CWE-918.py,0.8867
51_CWE-918.py,0.9520
52_CWE-918.py,0.9520
53_CWE-918.py,0.8532
54_CWE-918.py,0.8532
55_CWE-918.py,0.9311
56_CWE-918.py,0.9311
57_CWE-918.py,0.8917
58_CWE-918.py,0.8917
59_CWE-918.py,0.9110
5_CWE-918.py,0.9052
60_CWE-918.py,0.9110
61_CWE-918.py,0.7806
62_CWE-918.py,0.7806
63_CWE-863.py,0.7542
64_CWE-863.py,0.8653
65_CWE-863.py,0.8838
66_CWE-203.py,0.8793
67_CWE-203.py,0.8970
68_CWE-601.py,0.8495
69_CWE-93.py,0.7334
6_CWE-918.py,0.9052
70_CWE-93.py,0.6814
71_CWE-93.py,0.7690
72_CWE-93.py,0.7309
73_CWE-93.py,0.7325
74_CWE-79.py,0.9211
75_CWE-918.py,0.9255
76_CWE-284.py,0.9255
77_CWE-918.py,0.8471
78_CWE-116.py,0.8279
79_CWE-918.py,0.8382
7_CWE-918.py,0.8305
80_CWE-601.py,0.8550
81_CWE-264.py,0.9436
82_CWE-78.py,0.7453
83_CWE-22.py,0.7453
84_CWE-352.py,0.8972
85_CWE-290.py,0.9005
86_CWE-835.py,0.8988
87_CWE-444.py,0.9357
88_CWE-79.py,0.9147
89_CWE-22.py,0.7629
8_CWE-918.py,0.8305
90_CWE-22.py,0.7629
91_CWE-918.py,0.7629
92_CWE-22.py,0.8340
93_CWE-22.py,0.8340
94_CWE-918.py,0.8340
95_CWE-79.py,0.8840
96_CWE-918.py,0.8437
97_CWE-918.py,0.8437
98_CWE-918.py,0.8873
99_CWE-918.py,0.8873
9_CWE-918.py,0.8399
min,0.6814
max,0.9929
mean,0.8803
