,cosine-similarity
100_CWE-918.py,0.9565
10_CWE-918.py,0.8867
11_CWE-918.py,0.9122
12_CWE-918.py,0.9122
13_CWE-918.py,0.9602
14_CWE-918.py,0.9602
15_CWE-918.py,0.9220
16_CWE-918.py,0.9220
17_CWE-918.py,0.9903
18_CWE-918.py,0.9903
19_CWE-918.py,0.9245
1_CWE-918.py,0.9278
20_CWE-918.py,0.9245
21_CWE-918.py,0.9820
22_CWE-918.py,0.9820
23_CWE-918.py,0.9204
24_CWE-918.py,0.9204
25_CWE-918.py,0.9871
26_CWE-918.py,0.9871
27_CWE-918.py,0.9800
28_CWE-918.py,0.9800
29_CWE-918.py,0.9354
2_CWE-918.py,0.9072
30_CWE-918.py,0.9354
31_CWE-918.py,0.9461
32_CWE-918.py,0.9461
33_CWE-918.py,0.9175
34_CWE-918.py,0.9175
35_CWE-918.py,0.9458
36_CWE-918.py,0.9458
37_CWE-918.py,0.9498
38_CWE-918.py,0.9498
39_CWE-918.py,0.9960
3_CWE-601.py,0.9944
40_CWE-918.py,0.9960
41_CWE-918.py,0.9312
42_CWE-918.py,0.9312
43_CWE-918.py,0.9325
44_CWE-918.py,0.9325
45_CWE-918.py,0.9387
46_CWE-918.py,0.9387
47_CWE-918.py,0.9863
48_CWE-918.py,0.9863
49_CWE-918.py,0.9211
4_CWE-601.py,0.9542
50_CWE-918.py,0.9211
51_CWE-918.py,0.9714
52_CWE-918.py,0.9714
53_CWE-918.py,0.9109
54_CWE-918.py,0.9109
55_CWE-918.py,0.9686
56_CWE-918.py,0.9686
57_CWE-918.py,0.9435
58_CWE-918.py,0.9435
59_CWE-918.py,0.9419
5_CWE-918.py,0.9234
60_CWE-918.py,0.9419
61_CWE-918.py,0.8937
62_CWE-918.py,0.8937
63_CWE-863.py,0.8003
64_CWE-863.py,0.8974
65_CWE-863.py,0.9350
66_CWE-203.py,0.9242
67_CWE-203.py,0.9282
68_CWE-601.py,0.9177
69_CWE-93.py,0.8020
6_CWE-918.py,0.9234
70_CWE-93.py,0.7559
71_CWE-93.py,0.8181
72_CWE-93.py,0.7983
73_CWE-93.py,0.8142
74_CWE-79.py,0.9537
75_CWE-918.py,0.9465
76_CWE-284.py,0.9465
77_CWE-918.py,0.9225
78_CWE-116.py,0.9341
79_CWE-918.py,0.8945
7_CWE-918.py,0.8637
80_CWE-601.py,0.9345
81_CWE-264.py,0.9619
82_CWE-78.py,0.8020
83_CWE-22.py,0.8020
84_CWE-352.py,0.9233
85_CWE-290.py,0.9248
86_CWE-835.py,0.9323
87_CWE-444.py,0.9445
88_CWE-79.py,0.9601
89_CWE-22.py,0.8567
8_CWE-918.py,0.8637
90_CWE-22.py,0.8567
91_CWE-918.py,0.8567
92_CWE-22.py,0.9322
93_CWE-22.py,0.9322
94_CWE-918.py,0.9322
95_CWE-79.py,0.8975
96_CWE-918.py,0.8772
97_CWE-918.py,0.8772
98_CWE-918.py,0.9201
99_CWE-918.py,0.9201
9_CWE-918.py,0.8867
min,0.7559
max,0.9960
mean,0.9234
