,cosine-similarity
100_CWE-918.py,0.9468
10_CWE-918.py,0.8468
11_CWE-918.py,0.8437
12_CWE-918.py,0.8437
13_CWE-918.py,0.9460
14_CWE-918.py,0.9460
15_CWE-918.py,0.9019
16_CWE-918.py,0.9019
17_CWE-918.py,0.9785
18_CWE-918.py,0.9785
19_CWE-918.py,0.9194
1_CWE-918.py,0.8918
20_CWE-918.py,0.9194
21_CWE-918.py,0.9529
22_CWE-918.py,0.9529
23_CWE-918.py,0.8651
24_CWE-918.py,0.8651
25_CWE-918.py,0.9700
26_CWE-918.py,0.9700
27_CWE-918.py,0.9532
28_CWE-918.py,0.9532
29_CWE-918.py,0.9005
2_CWE-918.py,0.8669
30_CWE-918.py,0.9005
31_CWE-918.py,0.9292
32_CWE-918.py,0.9292
33_CWE-918.py,0.9043
34_CWE-918.py,0.9043
35_CWE-918.py,0.9267
36_CWE-918.py,0.9267
37_CWE-918.py,0.9475
38_CWE-918.py,0.9475
39_CWE-918.py,0.9880
3_CWE-601.py,0.9864
40_CWE-918.py,0.9880
41_CWE-918.py,0.9227
42_CWE-918.py,0.9227
43_CWE-918.py,0.9546
44_CWE-918.py,0.9546
45_CWE-918.py,0.9419
46_CWE-918.py,0.9419
47_CWE-918.py,0.9675
48_CWE-918.py,0.9675
49_CWE-918.py,0.9216
4_CWE-601.py,0.9489
50_CWE-918.py,0.9216
51_CWE-918.py,0.9716
52_CWE-918.py,0.9716
53_CWE-918.py,0.8608
54_CWE-918.py,0.8608
55_CWE-918.py,0.9311
56_CWE-918.py,0.9311
57_CWE-918.py,0.9166
58_CWE-918.py,0.9166
59_CWE-918.py,0.9377
5_CWE-918.py,0.9308
60_CWE-918.py,0.9377
61_CWE-918.py,0.7889
62_CWE-918.py,0.7889
63_CWE-863.py,0.7742
64_CWE-863.py,0.9055
65_CWE-863.py,0.9248
66_CWE-203.py,0.9115
67_CWE-203.py,0.9526
68_CWE-601.py,0.8545
69_CWE-93.py,0.6896
6_CWE-918.py,0.9308
70_CWE-93.py,0.6344
71_CWE-93.py,0.7526
72_CWE-93.py,0.7227
73_CWE-93.py,0.6927
74_CWE-79.py,0.9399
75_CWE-918.py,0.9374
76_CWE-284.py,0.9374
77_CWE-918.py,0.8654
78_CWE-116.py,0.8620
79_CWE-918.py,0.8602
7_CWE-918.py,0.8166
80_CWE-601.py,0.8940
81_CWE-264.py,0.9519
82_CWE-78.py,0.7196
83_CWE-22.py,0.7196
84_CWE-352.py,0.9076
85_CWE-290.py,0.9039
86_CWE-835.py,0.8987
87_CWE-444.py,0.9520
88_CWE-79.py,0.9509
89_CWE-22.py,0.8008
8_CWE-918.py,0.8166
90_CWE-22.py,0.8008
91_CWE-918.py,0.8008
92_CWE-22.py,0.8970
93_CWE-22.py,0.8970
94_CWE-918.py,0.8970
95_CWE-79.py,0.9170
96_CWE-918.py,0.8889
97_CWE-918.py,0.8889
98_CWE-918.py,0.9317
99_CWE-918.py,0.9317
9_CWE-918.py,0.8468
min,0.6344
max,0.9880
mean,0.8968
